"GEO_ID","NAME","S2406_C01_001E","S2406_C01_001M","S2406_C01_002E","S2406_C01_002M","S2406_C01_003E","S2406_C01_003M","S2406_C01_004E","S2406_C01_004M","S2406_C01_005E","S2406_C01_005M","S2406_C01_006E","S2406_C01_006M","S2406_C01_007E","S2406_C01_007M","S2406_C02_001E","S2406_C02_001M","S2406_C02_002E","S2406_C02_002M","S2406_C02_003E","S2406_C02_003M","S2406_C02_004E","S2406_C02_004M","S2406_C02_005E","S2406_C02_005M","S2406_C02_006E","S2406_C02_006M","S2406_C02_007E","S2406_C02_007M","S2406_C03_001E","S2406_C03_001M","S2406_C03_002E","S2406_C03_002M","S2406_C03_003E","S2406_C03_003M","S2406_C03_004E","S2406_C03_004M","S2406_C03_005E","S2406_C03_005M","S2406_C03_006E","S2406_C03_006M","S2406_C03_007E","S2406_C03_007M","S2406_C04_001E","S2406_C04_001M","S2406_C04_002E","S2406_C04_002M","S2406_C04_003E","S2406_C04_003M","S2406_C04_004E","S2406_C04_004M","S2406_C04_005E","S2406_C04_005M","S2406_C04_006E","S2406_C04_006M","S2406_C04_007E","S2406_C04_007M","S2406_C05_001E","S2406_C05_001M","S2406_C05_002E","S2406_C05_002M","S2406_C05_003E","S2406_C05_003M","S2406_C05_004E","S2406_C05_004M","S2406_C05_005E","S2406_C05_005M","S2406_C05_006E","S2406_C05_006M","S2406_C05_007E","S2406_C05_007M","S2406_C06_001E","S2406_C06_001M","S2406_C06_002E","S2406_C06_002M","S2406_C06_003E","S2406_C06_003M","S2406_C06_004E","S2406_C06_004M","S2406_C06_005E","S2406_C06_005M","S2406_C06_006E","S2406_C06_006M","S2406_C06_007E","S2406_C06_007M"
"0500000US53073","Whatcom County, Washington","111592","3203","40510","2934","20355","2837","25375","2725","11988","1880","13364","1986","8.7","(X)","62.4","2.9","46.9","4.5","60.6","5.5","75.6","4.9","70.0","8.5","80.0","7.8","(X)","(X)","5.8","1.3","7.3","2.4","2.9","2.3","4.2","2.4","10.4","5.0","4.5","3.8","(X)","(X)","7.9","1.3","13.0","2.6","10.6","3.6","3.0","1.5","0.9","1.3","3.9","4.4","(X)","(X)","17.2","2.3","23.1","3.6","19.9","5.4","13.4","3.9","10.0","6.0","8.9","5.7","(X)","(X)","6.7","1.8","9.6","3.5","6.0","2.9","3.9","2.1","8.6","3.8","2.7","2.0","(X)","(X)"
"0500000US53077","Yakima County, Washington","101101","3223","27727","2821","15839","2112","18562","1978","21333","2413","17640","2207","12.2","(X)","68.5","2.6","39.8","5.8","57.8","5.8","78.1","5.0","89.7","3.2","87.7","4.0","(X)","(X)","3.5","0.8","6.2","2.3","4.0","2.4","3.1","1.6","2.2","1.3","0.6","0.6","(X)","(X)","8.9","1.3","21.0","3.5","8.5","4.0","6.4","2.9","1.2","0.8","2.5","1.6","(X)","(X)","13.3","2.0","26.6","5.1","17.7","4.2","8.9","3.6","1.5","1.1","7.4","3.0","(X)","(X)","5.7","1.3","6.4","2.9","12.0","3.9","3.6","2.1","5.4","2.5","1.7","1.3","(X)","(X)"
"0500000US54003","Berkeley County, West Virginia","54140","2575","19400","2920","8681","1601","12845","1764","4655","1086","8559","1871","9.8","(X)","70.4","4.3","59.0","7.3","59.8","10.9","75.9","7.0","81.0","9.6","92.7","6.2","(X)","(X)","0.7","0.6","0.4","0.7","0.0","1.9","1.4","1.7","2.5","3.4","0.0","1.9","(X)","(X)","5.2","1.8","10.3","4.0","2.7","3.0","4.5","3.2","0.0","3.5","0.0","1.9","(X)","(X)","19.7","3.5","28.7","6.5","26.0","8.4","15.1","5.9","7.9","7.0","6.3","5.7","(X)","(X)","4.0","1.7","1.5","1.5","11.5","6.3","3.1","2.5","8.5","7.4","1.0","1.9","(X)","(X)"
"0500000US54011","Cabell County, West Virginia","38126","2023","12585","1609","8963","1469","9918","1649","2740","901","3920","1010","7.8","(X)","73.2","4.0","54.6","7.2","74.5","9.4","87.5","5.3","75.2","15.9","92.2","5.5","(X)","(X)","1.9","1.1","3.9","2.3","0.6","1.0","1.3","1.3","0.0","5.8","1.6","2.7","(X)","(X)","6.8","2.0","11.5","4.2","7.4","4.5","3.5","2.4","1.9","3.3","2.0","2.7","(X)","(X)","13.7","3.4","27.5","6.7","10.3","6.8","4.9","3.6","10.7","11.1","1.2","2.2","(X)","(X)","4.4","1.7","2.5","1.8","7.2","5.3","2.8","2.6","12.2","11.5","2.9","3.4","(X)","(X)"
"0500000US54033","Harrison County, West Virginia","31373","1886","10702","1518","5345","1054","7370","1471","3994","979","3962","991","8.3","(X)","63.8","4.2","42.9","7.9","61.6","10.7","79.2","7.5","69.1","11.5","89.3","7.3","(X)","(X)","2.3","1.4","2.5","1.9","3.9","6.2","1.7","1.8","3.1","3.6","0.0","4.1","(X)","(X)","7.4","2.1","13.1","4.8","9.4","6.5","0.5","0.8","7.9","10.8","1.5","1.9","(X)","(X)","21.5","3.3","36.6","7.8","22.3","9.3","12.6","5.2","11.1","9.3","6.5","6.3","(X)","(X)","5.0","2.1","4.9","3.0","2.8","2.6","5.9","5.2","8.8","6.3","2.6","3.4","(X)","(X)"
"0500000US54039","Kanawha County, West Virginia","77973","2959","27869","2741","15116","2358","23016","2567","5398","1175","6574","1386","8.5","(X)","62.1","3.0","47.4","4.3","65.7","7.7","69.4","5.7","71.6","10.3","83.3","6.2","(X)","(X)","1.8","0.6","2.8","1.4","2.0","1.5","0.7","0.6","3.2","3.4","0.0","2.5","(X)","(X)","9.9","1.9","18.1","4.1","6.8","4.4","5.7","2.2","0.3","0.5","4.1","3.8","(X)","(X)","21.3","2.7","28.2","4.3","16.8","5.9","21.0","5.1","13.9","7.5","9.3","5.7","(X)","(X)","4.8","1.5","3.4","1.8","8.6","4.3","3.1","2.2","11.0","6.7","3.4","3.2","(X)","(X)"
"0500000US54061","Monongalia County, West Virginia","52236","2362","23787","2269","9700","1937","10911","1635","3976","1005","3862","1214","8.1","(X)","61.7","3.1","44.0","5.0","72.0","8.3","81.7","6.4","66.7","14.0","83.7","10.2","(X)","(X)","2.1","1.0","2.3","1.5","2.1","2.5","3.3","3.1","0.0","4.1","0.0","4.2","(X)","(X)","9.6","2.0","16.4","3.7","7.4","4.1","3.6","2.3","0.0","4.1","0.0","4.2","(X)","(X)","22.4","3.4","34.2","4.8","14.4","7.2","9.5","4.9","12.5","8.6","16.3","10.2","(X)","(X)","4.2","1.4","3.1","1.6","4.1","3.6","2.0","1.7","20.8","12.2","0.0","4.2","(X)","(X)"
"0500000US54081","Raleigh County, West Virginia","27851","1963","7811","1247","6621","1450","7619","1336","3324","835","2476","732","6.7","(X)","70.9","5.3","54.0","10.5","73.2","10.5","76.3","8.7","85.9","7.9","81.5","11.2","(X)","(X)","2.0","1.1","1.8","1.9","0.3","0.6","3.9","3.1","0.0","4.8","3.4","5.5","(X)","(X)","6.2","2.6","7.7","4.8","9.0","6.7","5.6","4.4","1.9","3.2","1.9","3.3","(X)","(X)","17.8","4.3","31.6","9.6","14.4","9.3","14.3","6.9","7.6","5.6","7.6","8.3","(X)","(X)","3.1","1.7","4.8","5.1","3.1","3.6","0.0","2.1","4.5","4.2","5.7","7.1","(X)","(X)"
"0500000US54107","Wood County, West Virginia","36050","1926","12063","1486","6770","1383","8909","1205","3383","899","4925","1057","11.5","(X)","69.1","3.7","45.1","6.4","83.1","7.8","78.6","7.1","77.0","10.7","86.2","7.7","(X)","(X)","1.1","0.7","0.6","1.1","0.0","2.4","0.6","1.1","6.6","5.5","0.9","1.6","(X)","(X)","9.1","2.2","16.2","5.2","4.8","4.1","8.6","5.8","3.2","3.8","2.2","2.6","(X)","(X)","15.6","3.0","32.0","6.1","7.8","7.0","7.2","3.7","3.9","3.9","9.4","6.8","(X)","(X)","5.1","1.9","6.1","3.5","4.3","3.4","5.0","3.5","9.4","8.2","1.3","1.8","(X)","(X)"
"0500000US55009","Brown County, Wisconsin","137851","3207","51130","3128","20052","2447","34336","2719","11285","1556","21048","2061","8.4","(X)","72.9","1.9","57.5","4.1","75.9","4.7","81.1","3.7","82.3","6.6","89.4","3.4","(X)","(X)","3.2","0.8","4.8","1.5","0.5","0.8","3.9","1.5","3.7","2.4","0.9","0.7","(X)","(X)","9.2","1.3","16.3","2.2","6.2","2.5","6.0","2.3","2.5","2.8","3.4","2.0","(X)","(X)","11.2","1.7","18.0","3.5","13.5","4.3","6.6","2.2","3.0","2.2","4.2","2.7","(X)","(X)","3.5","0.8","3.5","1.3","3.8","1.8","2.4","1.5","8.6","5.1","2.2","1.3","(X)","(X)"
