"GEO_ID","id"
"S2406_C06_001E","Self-employed in own not incorporated business workers and unpaid family workers!!Estimate!!Civilian employed population 16 years and over"
"S2406_C06_001M","Self-employed in own not incorporated business workers and unpaid family workers!!Margin of Error!!Civilian employed population 16 years and over"
"S2406_C06_002E","Self-employed in own not incorporated business workers and unpaid family workers!!Estimate!!Management, business, science, and arts occupations"
"S2406_C06_002M","Self-employed in own not incorporated business workers and unpaid family workers!!Margin of Error!!Management, business, science, and arts occupations"
"S2406_C06_003E","Self-employed in own not incorporated business workers and unpaid family workers!!Estimate!!Service occupations"
"S2406_C06_003M","Self-employed in own not incorporated business workers and unpaid family workers!!Margin of Error!!Service occupations"
"S2406_C06_004E","Self-employed in own not incorporated business workers and unpaid family workers!!Estimate!!Sales and office occupations"
"S2406_C06_004M","Self-employed in own not incorporated business workers and unpaid family workers!!Margin of Error!!Sales and office occupations"
"S2406_C06_005E","Self-employed in own not incorporated business workers and unpaid family workers!!Estimate!!Natural resources, construction, and maintenance occupations"
"S2406_C06_005M","Self-employed in own not incorporated business workers and unpaid family workers!!Margin of Error!!Natural resources, construction, and maintenance occupations"
"S2406_C06_006E","Self-employed in own not incorporated business workers and unpaid family workers!!Estimate!!Production, transportation, and material moving occupations"
"S2406_C06_006M","Self-employed in own not incorporated business workers and unpaid family workers!!Margin of Error!!Production, transportation, and material moving occupations"
"S2406_C06_007E","Self-employed in own not incorporated business workers and unpaid family workers!!Estimate!!PERCENT ALLOCATED!!Occupation"
"S2406_C06_007M","Self-employed in own not incorporated business workers and unpaid family workers!!Margin of Error!!PERCENT ALLOCATED!!Occupation"
