"GEO_ID","NAME","S2406_C01_001E","S2406_C01_001M","S2406_C01_002E","S2406_C01_002M","S2406_C01_003E","S2406_C01_003M","S2406_C01_004E","S2406_C01_004M","S2406_C01_005E","S2406_C01_005M","S2406_C01_006E","S2406_C01_006M","S2406_C01_007E","S2406_C01_007M","S2406_C02_001E","S2406_C02_001M","S2406_C02_002E","S2406_C02_002M","S2406_C02_003E","S2406_C02_003M","S2406_C02_004E","S2406_C02_004M","S2406_C02_005E","S2406_C02_005M","S2406_C02_006E","S2406_C02_006M","S2406_C02_007E","S2406_C02_007M","S2406_C03_001E","S2406_C03_001M","S2406_C03_002E","S2406_C03_002M","S2406_C03_003E","S2406_C03_003M","S2406_C03_004E","S2406_C03_004M","S2406_C03_005E","S2406_C03_005M","S2406_C03_006E","S2406_C03_006M","S2406_C03_007E","S2406_C03_007M","S2406_C04_001E","S2406_C04_001M","S2406_C04_002E","S2406_C04_002M","S2406_C04_003E","S2406_C04_003M","S2406_C04_004E","S2406_C04_004M","S2406_C04_005E","S2406_C04_005M","S2406_C04_006E","S2406_C04_006M","S2406_C04_007E","S2406_C04_007M","S2406_C05_001E","S2406_C05_001M","S2406_C05_002E","S2406_C05_002M","S2406_C05_003E","S2406_C05_003M","S2406_C05_004E","S2406_C05_004M","S2406_C05_005E","S2406_C05_005M","S2406_C05_006E","S2406_C05_006M","S2406_C05_007E","S2406_C05_007M","S2406_C06_001E","S2406_C06_001M","S2406_C06_002E","S2406_C06_002M","S2406_C06_003E","S2406_C06_003M","S2406_C06_004E","S2406_C06_004M","S2406_C06_005E","S2406_C06_005M","S2406_C06_006E","S2406_C06_006M","S2406_C06_007E","S2406_C06_007M"
"id","Geographic Area Name","Estimate!!Total!!Civilian employed population 16 years and over","Margin of Error!!Total MOE!!Civilian employed population 16 years and over","Estimate!!Total!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations","Margin of Error!!Total MOE!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations","Estimate!!Total!!Civilian employed population 16 years and over!!Service occupations","Margin of Error!!Total MOE!!Civilian employed population 16 years and over!!Service occupations","Estimate!!Total!!Civilian employed population 16 years and over!!Sales and office occupations","Margin of Error!!Total MOE!!Civilian employed population 16 years and over!!Sales and office occupations","Estimate!!Total!!Civilian employed population 16 years and over!!Natural resources, construction, and maintenance occupations","Margin of Error!!Total MOE!!Civilian employed population 16 years and over!!Natural resources, construction, and maintenance occupations","Estimate!!Total!!Civilian employed population 16 years and over!!Production, transportation, and material moving occupations","Margin of Error!!Total MOE!!Civilian employed population 16 years and over!!Production, transportation, and material moving occupations","Estimate!!Total!!PERCENT ALLOCATED!!Occupation","Margin of Error!!Total MOE!!PERCENT ALLOCATED!!Occupation","Estimate!!Employee of private company workers!!Civilian employed population 16 years and over","Margin of Error!!Employee of private company workers MOE!!Civilian employed population 16 years and over","Estimate!!Employee of private company workers!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations","Margin of Error!!Employee of private company workers MOE!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations","Estimate!!Employee of private company workers!!Civilian employed population 16 years and over!!Service occupations","Margin of Error!!Employee of private company workers MOE!!Civilian employed population 16 years and over!!Service occupations","Estimate!!Employee of private company workers!!Civilian employed population 16 years and over!!Sales and office occupations","Margin of Error!!Employee of private company workers MOE!!Civilian employed population 16 years and over!!Sales and office occupations","Estimate!!Employee of private company workers!!Civilian employed population 16 years and over!!Natural resources, construction, and maintenance occupations","Margin of Error!!Employee of private company workers MOE!!Civilian employed population 16 years and over!!Natural resources, construction, and maintenance occupations","Estimate!!Employee of private company workers!!Civilian employed population 16 years and over!!Production, transportation, and material moving occupations","Margin of Error!!Employee of private company workers MOE!!Civilian employed population 16 years and over!!Production, transportation, and material moving occupations","Estimate!!Employee of private company workers!!PERCENT ALLOCATED!!Occupation","Margin of Error!!Employee of private company workers MOE!!PERCENT ALLOCATED!!Occupation","Estimate!!Self-employed in own incorporated business workers!!Civilian employed population 16 years and over","Margin of Error!!Self-employed in own incorporated business workers MOE!!Civilian employed population 16 years and over","Estimate!!Self-employed in own incorporated business workers!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations","Margin of Error!!Self-employed in own incorporated business workers MOE!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations","Estimate!!Self-employed in own incorporated business workers!!Civilian employed population 16 years and over!!Service occupations","Margin of Error!!Self-employed in own incorporated business workers MOE!!Civilian employed population 16 years and over!!Service occupations","Estimate!!Self-employed in own incorporated business workers!!Civilian employed population 16 years and over!!Sales and office occupations","Margin of Error!!Self-employed in own incorporated business workers MOE!!Civilian employed population 16 years and over!!Sales and office occupations","Estimate!!Self-employed in own incorporated business workers!!Civilian employed population 16 years and over!!Natural resources, construction, and maintenance occupations","Margin of Error!!Self-employed in own incorporated business workers MOE!!Civilian employed population 16 years and over!!Natural resources, construction, and maintenance occupations","Estimate!!Self-employed in own incorporated business workers!!Civilian employed population 16 years and over!!Production, transportation, and material moving occupations","Margin of Error!!Self-employed in own incorporated business workers MOE!!Civilian employed population 16 years and over!!Production, transportation, and material moving occupations","Estimate!!Self-employed in own incorporated business workers!!PERCENT ALLOCATED!!Occupation","Margin of Error!!Self-employed in own incorporated business workers MOE!!PERCENT ALLOCATED!!Occupation","Estimate!!Private not-for-profit wage and salary workers!!Civilian employed population 16 years and over","Margin of Error!!Private not-for-profit wage and salary workers MOE!!Civilian employed population 16 years and over","Estimate!!Private not-for-profit wage and salary workers!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations","Margin of Error!!Private not-for-profit wage and salary workers MOE!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations","Estimate!!Private not-for-profit wage and salary workers!!Civilian employed population 16 years and over!!Service occupations","Margin of Error!!Private not-for-profit wage and salary workers MOE!!Civilian employed population 16 years and over!!Service occupations","Estimate!!Private not-for-profit wage and salary workers!!Civilian employed population 16 years and over!!Sales and office occupations","Margin of Error!!Private not-for-profit wage and salary workers MOE!!Civilian employed population 16 years and over!!Sales and office occupations","Estimate!!Private not-for-profit wage and salary workers!!Civilian employed population 16 years and over!!Natural resources, construction, and maintenance occupations","Margin of Error!!Private not-for-profit wage and salary workers MOE!!Civilian employed population 16 years and over!!Natural resources, construction, and maintenance occupations","Estimate!!Private not-for-profit wage and salary workers!!Civilian employed population 16 years and over!!Production, transportation, and material moving occupations","Margin of Error!!Private not-for-profit wage and salary workers MOE!!Civilian employed population 16 years and over!!Production, transportation, and material moving occupations","Estimate!!Private not-for-profit wage and salary workers!!PERCENT ALLOCATED!!Occupation","Margin of Error!!Private not-for-profit wage and salary workers MOE!!PERCENT ALLOCATED!!Occupation","Estimate!!Local, state, and federal government workers!!Civilian employed population 16 years and over","Margin of Error!!Local, state, and federal government workers MOE!!Civilian employed population 16 years and over","Estimate!!Local, state, and federal government workers!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations","Margin of Error!!Local, state, and federal government workers MOE!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations","Estimate!!Local, state, and federal government workers!!Civilian employed population 16 years and over!!Service occupations","Margin of Error!!Local, state, and federal government workers MOE!!Civilian employed population 16 years and over!!Service occupations","Estimate!!Local, state, and federal government workers!!Civilian employed population 16 years and over!!Sales and office occupations","Margin of Error!!Local, state, and federal government workers MOE!!Civilian employed population 16 years and over!!Sales and office occupations","Estimate!!Local, state, and federal government workers!!Civilian employed population 16 years and over!!Natural resources, construction, and maintenance occupations","Margin of Error!!Local, state, and federal government workers MOE!!Civilian employed population 16 years and over!!Natural resources, construction, and maintenance occupations","Estimate!!Local, state, and federal government workers!!Civilian employed population 16 years and over!!Production, transportation, and material moving occupations","Margin of Error!!Local, state, and federal government workers MOE!!Civilian employed population 16 years and over!!Production, transportation, and material moving occupations","Estimate!!Local, state, and federal government workers!!PERCENT ALLOCATED!!Occupation","Margin of Error!!Local, state, and federal government workers MOE!!PERCENT ALLOCATED!!Occupation","Estimate!!Self-employed in own not incorporated business workers and unpaid family workers!!Civilian employed population 16 years and over","Margin of Error!!Self-employed in own not incorporated business workers and unpaid family workers MOE!!Civilian employed population 16 years and over","Estimate!!Self-employed in own not incorporated business workers and unpaid family workers!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations","Margin of Error!!Self-employed in own not incorporated business workers and unpaid family workers MOE!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations","Estimate!!Self-employed in own not incorporated business workers and unpaid family workers!!Civilian employed population 16 years and over!!Service occupations","Margin of Error!!Self-employed in own not incorporated business workers and unpaid family workers MOE!!Civilian employed population 16 years and over!!Service occupations","Estimate!!Self-employed in own not incorporated business workers and unpaid family workers!!Civilian employed population 16 years and over!!Sales and office occupations","Margin of Error!!Self-employed in own not incorporated business workers and unpaid family workers MOE!!Civilian employed population 16 years and over!!Sales and office occupations","Estimate!!Self-employed in own not incorporated business workers and unpaid family workers!!Civilian employed population 16 years and over!!Natural resources, construction, and maintenance occupations","Margin of Error!!Self-employed in own not incorporated business workers and unpaid family workers MOE!!Civilian employed population 16 years and over!!Natural resources, construction, and maintenance occupations","Estimate!!Self-employed in own not incorporated business workers and unpaid family workers!!Civilian employed population 16 years and over!!Production, transportation, and material moving occupations","Margin of Error!!Self-employed in own not incorporated business workers and unpaid family workers MOE!!Civilian employed population 16 years and over!!Production, transportation, and material moving occupations","Estimate!!Self-employed in own not incorporated business workers and unpaid family workers!!PERCENT ALLOCATED!!Occupation","Margin of Error!!Self-employed in own not incorporated business workers and unpaid family workers MOE!!PERCENT ALLOCATED!!Occupation"
"0500000US01003","Baldwin County, Alabama","102800","4327","34969","3369","18709","2471","24752","2776","11639","2273","12731","2203","12.7","(X)","67.3","3.0","57.0","5.3","67.7","7.7","72.3","5.3","69.4","10.1","83.7","6.7","(X)","(X)","6.2","1.3","10.4","3.5","2.7","2.3","4.5","1.9","5.3","4.4","3.9","5.2","(X)","(X)","6.0","1.4","8.9","2.2","2.4","1.9","9.0","4.8","1.3","1.6","2.0","1.5","(X)","(X)","11.4","1.8","16.8","3.7","11.0","3.5","8.5","3.0","6.6","4.4","7.5","4.0","(X)","(X)","9.0","2.4","6.9","3.0","16.2","7.8","5.7","2.1","17.4","7.5","2.9","2.9","(X)","(X)"
"0500000US01015","Calhoun County, Alabama","49415","3039","12419","1474","8714","1759","11313","1692","5939","1433","11030","1671","10.4","(X)","70.4","3.3","57.3","8.0","55.8","10.0","78.0","6.0","79.6","12.1","84.1","5.9","(X)","(X)","2.1","1.2","2.6","2.3","2.4","2.2","2.4","2.4","2.3","2.8","1.0","1.8","(X)","(X)","5.2","1.4","12.3","4.6","0.8","1.4","1.8","1.9","2.7","3.7","5.4","3.6","(X)","(X)","16.2","2.5","20.9","5.7","29.5","9.0","15.3","4.6","8.5","6.8","5.2","3.2","(X)","(X)","6.1","1.8","6.8","3.9","11.5","6.4","2.5","2.6","7.0","6.4","4.3","3.3","(X)","(X)"
"0500000US01043","Cullman County, Alabama","35876","1979","8410","1374","5597","1165","7675","1424","5518","1179","8676","1360","12.7","(X)","70.5","3.7","58.9","11.0","67.9","8.6","72.2","10.2","68.3","10.2","83.3","7.4","(X)","(X)","2.7","1.3","3.2","3.0","5.4","4.9","3.2","3.4","2.5","2.4","0.1","0.2","(X)","(X)","6.3","2.0","13.3","6.6","6.1","4.4","7.0","5.1","3.7","3.5","0.5","0.8","(X)","(X)","9.1","2.4","17.3","6.5","6.7","4.0","5.5","5.6","4.5","4.2","8.8","6.2","(X)","(X)","11.4","3.6","7.2","4.9","13.8","5.7","12.1","9.3","20.9","9.9","7.3","5.3","(X)","(X)"
"0500000US01049","DeKalb County, Alabama","29616","2399","8023","1558","4999","1345","5514","1107","3403","779","7677","1359","9.4","(X)","72.5","4.7","53.3","8.5","65.6","12.8","82.2","6.9","71.3","11.7","90.5","5.2","(X)","(X)","1.7","0.8","3.4","2.6","0.6","1.0","1.4","1.3","3.1","3.9","0.3","0.4","(X)","(X)","3.5","1.6","5.1","3.2","2.6","3.3","2.9","3.3","4.4","4.4","2.6","2.8","(X)","(X)","11.2","3.3","24.5","9.1","6.0","6.7","11.3","6.1","6.3","7.4","2.6","2.7","(X)","(X)","11.2","3.5","13.8","7.2","25.2","12.8","2.2","1.8","14.9","9.6","4.0","3.9","(X)","(X)"
"0500000US01051","Elmore County, Alabama","34265","2312","13056","1832","5343","1389","7952","1430","3022","870","4892","1260","12.4","(X)","68.3","4.7","54.8","7.7","76.1","11.9","70.9","8.9","65.8","12.8","93.4","5.0","(X)","(X)","2.0","1.1","4.2","2.9","1.9","2.3","0.5","0.8","0.0","5.4","0.0","3.4","(X)","(X)","6.9","2.6","10.2","5.5","2.8","4.7","10.6","6.1","2.0","3.6","0.0","3.4","(X)","(X)","18.4","3.8","28.7","7.4","14.1","6.7","16.2","8.8","9.1","7.0","4.6","4.6","(X)","(X)","4.3","1.7","2.1","2.1","5.1","6.2","1.8","2.0","23.2","10.6","2.0","2.2","(X)","(X)"
"0500000US01055","Etowah County, Alabama","44172","1942","13410","1460","8403","1677","8595","1318","4043","979","9721","1727","9.7","(X)","74.4","3.8","65.8","6.7","64.8","10.3","81.6","7.5","59.8","16.6","94.0","3.7","(X)","(X)","3.1","1.5","3.2","2.2","1.4","2.5","6.8","6.2","5.9","7.3","0.0","1.7","(X)","(X)","4.4","1.9","7.5","3.4","4.5","4.5","2.3","2.3","6.8","8.0","0.9","1.6","(X)","(X)","13.3","2.6","18.4","5.1","20.3","7.8","8.6","3.4","18.5","10.3","2.4","1.5","(X)","(X)","4.8","1.9","5.0","3.9","9.0","5.9","0.8","0.9","9.1","6.6","2.7","3.1","(X)","(X)"
"0500000US01069","Houston County, Alabama","44812","1429","13483","1113","8696","1018","11327","1158","4257","745","7049","804","9.1","(X)","70.8","2.2","58.0","3.6","62.7","6.4","84.4","3.0","64.8","8.0","87.2","5.1","(X)","(X)","2.6","0.6","3.9","1.3","1.6","0.9","2.1","0.8","5.2","2.9","0.7","0.7","(X)","(X)","6.5","1.3","13.6","3.0","7.4","3.2","2.3","1.4","2.1","1.8","1.1","0.7","(X)","(X)","12.9","1.8","20.8","3.1","16.7","5.2","6.0","1.8","7.3","3.6","7.7","4.7","(X)","(X)","7.1","1.4","3.6","1.6","11.7","4.5","5.1","2.0","20.5","7.8","3.3","1.9","(X)","(X)"
"0500000US01073","Jefferson County, Alabama","298525","6412","118976","5448","45211","3143","71154","4836","21906","2481","41278","3496","14.3","(X)","71.5","1.8","61.8","2.4","69.9","3.9","76.3","3.3","78.2","5.0","89.5","2.7","(X)","(X)","3.0","0.5","3.9","1.0","2.6","1.4","2.4","0.7","3.3","1.5","1.5","0.9","(X)","(X)","8.3","0.9","12.6","1.7","9.1","2.6","6.1","1.6","0.6","0.6","3.1","1.9","(X)","(X)","12.4","1.2","17.4","1.8","11.4","2.6","11.4","2.4","6.3","2.7","3.8","1.7","(X)","(X)","4.8","0.7","4.2","0.9","7.0","2.4","3.8","1.2","11.6","3.9","2.0","1.0","(X)","(X)"
"0500000US01077","Lauderdale County, Alabama","42960","2337","12578","2025","6529","1447","11466","1478","3468","1060","8919","1801","15.8","(X)","69.9","4.3","57.9","7.4","59.6","10.8","79.7","6.4","56.5","14.5","87.1","6.4","(X)","(X)","3.5","1.8","4.7","3.2","2.3","2.6","2.7","2.6","10.2","10.9","1.2","2.1","(X)","(X)","4.3","1.8","7.6","3.3","6.2","5.7","2.1","1.7","0.4","0.7","2.7","3.2","(X)","(X)","16.5","3.1","24.6","6.9","18.4","8.0","11.0","5.8","23.8","10.5","8.0","4.2","(X)","(X)","5.7","2.0","5.2","3.1","13.4","8.3","4.5","2.6","9.1","6.7","1.1","1.8","(X)","(X)"
