"GEO_ID","NAME","S2406_C01_001E","S2406_C01_001M","S2406_C01_002E","S2406_C01_002M","S2406_C01_003E","S2406_C01_003M","S2406_C01_004E","S2406_C01_004M","S2406_C01_005E","S2406_C01_005M","S2406_C01_006E","S2406_C01_006M","S2406_C01_007E","S2406_C01_007M","S2406_C02_001E","S2406_C02_001M","S2406_C02_002E","S2406_C02_002M","S2406_C02_003E","S2406_C02_003M","S2406_C02_004E","S2406_C02_004M","S2406_C02_005E","S2406_C02_005M","S2406_C02_006E","S2406_C02_006M","S2406_C02_007E","S2406_C02_007M","S2406_C03_001E","S2406_C03_001M","S2406_C03_002E","S2406_C03_002M","S2406_C03_003E","S2406_C03_003M","S2406_C03_004E","S2406_C03_004M","S2406_C03_005E","S2406_C03_005M","S2406_C03_006E","S2406_C03_006M","S2406_C03_007E","S2406_C03_007M","S2406_C04_001E","S2406_C04_001M","S2406_C04_002E","S2406_C04_002M","S2406_C04_003E","S2406_C04_003M","S2406_C04_004E","S2406_C04_004M","S2406_C04_005E","S2406_C04_005M","S2406_C04_006E","S2406_C04_006M","S2406_C04_007E","S2406_C04_007M","S2406_C05_001E","S2406_C05_001M","S2406_C05_002E","S2406_C05_002M","S2406_C05_003E","S2406_C05_003M","S2406_C05_004E","S2406_C05_004M","S2406_C05_005E","S2406_C05_005M","S2406_C05_006E","S2406_C05_006M","S2406_C05_007E","S2406_C05_007M","S2406_C06_001E","S2406_C06_001M","S2406_C06_002E","S2406_C06_002M","S2406_C06_003E","S2406_C06_003M","S2406_C06_004E","S2406_C06_004M","S2406_C06_005E","S2406_C06_005M","S2406_C06_006E","S2406_C06_006M","S2406_C06_007E","S2406_C06_007M"
"id","Geographic Area Name","Estimate!!Total!!Civilian employed population 16 years and over","Margin of Error!!Total!!Civilian employed population 16 years and over","Estimate!!Total!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations","Margin of Error!!Total!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations","Estimate!!Total!!Civilian employed population 16 years and over!!Service occupations","Margin of Error!!Total!!Civilian employed population 16 years and over!!Service occupations","Estimate!!Total!!Civilian employed population 16 years and over!!Sales and office occupations","Margin of Error!!Total!!Civilian employed population 16 years and over!!Sales and office occupations","Estimate!!Total!!Civilian employed population 16 years and over!!Natural resources, construction, and maintenance occupations","Margin of Error!!Total!!Civilian employed population 16 years and over!!Natural resources, construction, and maintenance occupations","Estimate!!Total!!Civilian employed population 16 years and over!!Production, transportation, and material moving occupations","Margin of Error!!Total!!Civilian employed population 16 years and over!!Production, transportation, and material moving occupations","Estimate!!Total!!PERCENT ALLOCATED!!Occupation","Margin of Error!!Total!!PERCENT ALLOCATED!!Occupation","Estimate!!Employee of private company workers!!Civilian employed population 16 years and over","Margin of Error!!Employee of private company workers!!Civilian employed population 16 years and over","Estimate!!Employee of private company workers!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations","Margin of Error!!Employee of private company workers!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations","Estimate!!Employee of private company workers!!Civilian employed population 16 years and over!!Service occupations","Margin of Error!!Employee of private company workers!!Civilian employed population 16 years and over!!Service occupations","Estimate!!Employee of private company workers!!Civilian employed population 16 years and over!!Sales and office occupations","Margin of Error!!Employee of private company workers!!Civilian employed population 16 years and over!!Sales and office occupations","Estimate!!Employee of private company workers!!Civilian employed population 16 years and over!!Natural resources, construction, and maintenance occupations","Margin of Error!!Employee of private company workers!!Civilian employed population 16 years and over!!Natural resources, construction, and maintenance occupations","Estimate!!Employee of private company workers!!Civilian employed population 16 years and over!!Production, transportation, and material moving occupations","Margin of Error!!Employee of private company workers!!Civilian employed population 16 years and over!!Production, transportation, and material moving occupations","Estimate!!Employee of private company workers!!PERCENT ALLOCATED!!Occupation","Margin of Error!!Employee of private company workers!!PERCENT ALLOCATED!!Occupation","Estimate!!Self-employed in own incorporated business workers!!Civilian employed population 16 years and over","Margin of Error!!Self-employed in own incorporated business workers!!Civilian employed population 16 years and over","Estimate!!Self-employed in own incorporated business workers!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations","Margin of Error!!Self-employed in own incorporated business workers!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations","Estimate!!Self-employed in own incorporated business workers!!Civilian employed population 16 years and over!!Service occupations","Margin of Error!!Self-employed in own incorporated business workers!!Civilian employed population 16 years and over!!Service occupations","Estimate!!Self-employed in own incorporated business workers!!Civilian employed population 16 years and over!!Sales and office occupations","Margin of Error!!Self-employed in own incorporated business workers!!Civilian employed population 16 years and over!!Sales and office occupations","Estimate!!Self-employed in own incorporated business workers!!Civilian employed population 16 years and over!!Natural resources, construction, and maintenance occupations","Margin of Error!!Self-employed in own incorporated business workers!!Civilian employed population 16 years and over!!Natural resources, construction, and maintenance occupations","Estimate!!Self-employed in own incorporated business workers!!Civilian employed population 16 years and over!!Production, transportation, and material moving occupations","Margin of Error!!Self-employed in own incorporated business workers!!Civilian employed population 16 years and over!!Production, transportation, and material moving occupations","Estimate!!Self-employed in own incorporated business workers!!PERCENT ALLOCATED!!Occupation","Margin of Error!!Self-employed in own incorporated business workers!!PERCENT ALLOCATED!!Occupation","Estimate!!Private not-for-profit wage and salary workers!!Civilian employed population 16 years and over","Margin of Error!!Private not-for-profit wage and salary workers!!Civilian employed population 16 years and over","Estimate!!Private not-for-profit wage and salary workers!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations","Margin of Error!!Private not-for-profit wage and salary workers!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations","Estimate!!Private not-for-profit wage and salary workers!!Civilian employed population 16 years and over!!Service occupations","Margin of Error!!Private not-for-profit wage and salary workers!!Civilian employed population 16 years and over!!Service occupations","Estimate!!Private not-for-profit wage and salary workers!!Civilian employed population 16 years and over!!Sales and office occupations","Margin of Error!!Private not-for-profit wage and salary workers!!Civilian employed population 16 years and over!!Sales and office occupations","Estimate!!Private not-for-profit wage and salary workers!!Civilian employed population 16 years and over!!Natural resources, construction, and maintenance occupations","Margin of Error!!Private not-for-profit wage and salary workers!!Civilian employed population 16 years and over!!Natural resources, construction, and maintenance occupations","Estimate!!Private not-for-profit wage and salary workers!!Civilian employed population 16 years and over!!Production, transportation, and material moving occupations","Margin of Error!!Private not-for-profit wage and salary workers!!Civilian employed population 16 years and over!!Production, transportation, and material moving occupations","Estimate!!Private not-for-profit wage and salary workers!!PERCENT ALLOCATED!!Occupation","Margin of Error!!Private not-for-profit wage and salary workers!!PERCENT ALLOCATED!!Occupation","Estimate!!Local, state, and federal government workers!!Civilian employed population 16 years and over","Margin of Error!!Local, state, and federal government workers!!Civilian employed population 16 years and over","Estimate!!Local, state, and federal government workers!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations","Margin of Error!!Local, state, and federal government workers!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations","Estimate!!Local, state, and federal government workers!!Civilian employed population 16 years and over!!Service occupations","Margin of Error!!Local, state, and federal government workers!!Civilian employed population 16 years and over!!Service occupations","Estimate!!Local, state, and federal government workers!!Civilian employed population 16 years and over!!Sales and office occupations","Margin of Error!!Local, state, and federal government workers!!Civilian employed population 16 years and over!!Sales and office occupations","Estimate!!Local, state, and federal government workers!!Civilian employed population 16 years and over!!Natural resources, construction, and maintenance occupations","Margin of Error!!Local, state, and federal government workers!!Civilian employed population 16 years and over!!Natural resources, construction, and maintenance occupations","Estimate!!Local, state, and federal government workers!!Civilian employed population 16 years and over!!Production, transportation, and material moving occupations","Margin of Error!!Local, state, and federal government workers!!Civilian employed population 16 years and over!!Production, transportation, and material moving occupations","Estimate!!Local, state, and federal government workers!!PERCENT ALLOCATED!!Occupation","Margin of Error!!Local, state, and federal government workers!!PERCENT ALLOCATED!!Occupation","Estimate!!Self-employed in own not incorporated business workers and unpaid family workers!!Civilian employed population 16 years and over","Margin of Error!!Self-employed in own not incorporated business workers and unpaid family workers!!Civilian employed population 16 years and over","Estimate!!Self-employed in own not incorporated business workers and unpaid family workers!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations","Margin of Error!!Self-employed in own not incorporated business workers and unpaid family workers!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations","Estimate!!Self-employed in own not incorporated business workers and unpaid family workers!!Civilian employed population 16 years and over!!Service occupations","Margin of Error!!Self-employed in own not incorporated business workers and unpaid family workers!!Civilian employed population 16 years and over!!Service occupations","Estimate!!Self-employed in own not incorporated business workers and unpaid family workers!!Civilian employed population 16 years and over!!Sales and office occupations","Margin of Error!!Self-employed in own not incorporated business workers and unpaid family workers!!Civilian employed population 16 years and over!!Sales and office occupations","Estimate!!Self-employed in own not incorporated business workers and unpaid family workers!!Civilian employed population 16 years and over!!Natural resources, construction, and maintenance occupations","Margin of Error!!Self-employed in own not incorporated business workers and unpaid family workers!!Civilian employed population 16 years and over!!Natural resources, construction, and maintenance occupations","Estimate!!Self-employed in own not incorporated business workers and unpaid family workers!!Civilian employed population 16 years and over!!Production, transportation, and material moving occupations","Margin of Error!!Self-employed in own not incorporated business workers and unpaid family workers!!Civilian employed population 16 years and over!!Production, transportation, and material moving occupations","Estimate!!Self-employed in own not incorporated business workers and unpaid family workers!!PERCENT ALLOCATED!!Occupation","Margin of Error!!Self-employed in own not incorporated business workers and unpaid family workers!!PERCENT ALLOCATED!!Occupation"
"0500000US01003","Baldwin County, Alabama","96012","4806","36374","4605","15395","2547","23642","3151","8812","2002","11789","1922","15.0","(X)","67.9","2.6","57.2","5.2","59.7","9.2","76.3","6.0","76.1","10.5","88.5","5.8","(X)","(X)","5.2","1.4","6.5","2.3","3.1","2.4","6.8","4.0","3.6","4.7","2.1","3.0","(X)","(X)","3.5","1.2","5.1","2.1","4.2","3.2","3.0","2.5","1.2","2.0","0.1","0.3","(X)","(X)","17.0","2.2","25.8","4.5","22.7","8.2","9.2","3.6","4.1","3.5","7.2","4.9","(X)","(X)","6.5","1.6","5.4","2.8","10.3","4.3","4.7","2.9","15.0","8.1","2.1","1.8","(X)","(X)"
"0500000US01015","Calhoun County, Alabama","45641","2582","12876","1807","8299","1839","10785","1958","3939","1191","9742","1856","10.6","(X)","69.7","4.0","49.8","7.6","69.2","8.2","79.0","7.6","57.9","13.9","91.0","4.8","(X)","(X)","1.8","0.8","2.9","1.8","0.3","0.5","2.9","2.6","2.2","2.6","0.4","0.7","(X)","(X)","4.1","1.3","9.9","4.0","1.8","2.3","3.1","2.4","1.0","1.6","0.7","1.2","(X)","(X)","20.2","3.3","33.6","7.3","19.1","5.7","13.9","6.0","27.4","15.0","7.7","4.4","(X)","(X)","4.1","2.1","3.8","3.7","9.6","5.6","1.1","1.1","11.5","7.9","0.2","0.3","(X)","(X)"
"0500000US01043","Cullman County, Alabama","36439","1749","10818","1411","5815","1173","7637","1395","5457","1103","6712","1219","9.3","(X)","73.4","4.2","57.2","8.5","81.7","8.6","77.5","8.6","72.2","13.1","88.5","5.9","(X)","(X)","3.4","1.8","2.2","2.2","1.0","1.3","7.4","5.6","7.1","7.8","0.0","2.6","(X)","(X)","5.7","2.2","15.4","6.5","1.3","1.6","2.3","1.4","1.2","2.1","1.7","2.0","(X)","(X)","11.0","2.6","19.3","5.4","9.6","5.3","9.6","7.3","2.9","3.2","7.1","5.2","(X)","(X)","6.4","2.4","5.8","5.1","6.5","6.6","3.2","3.3","16.5","11.5","2.7","2.1","(X)","(X)"
"0500000US01049","DeKalb County, Alabama","32544","2108","8183","1724","5630","1561","5306","1253","3529","1016","9896","2040","16.4","(X)","74.3","5.4","49.8","10.2","71.9","11.4","83.2","8.4","78.5","10.8","89.7","6.5","(X)","(X)","3.2","2.0","4.5","4.1","3.0","3.5","4.1","6.7","1.1","2.0","2.7","3.5","(X)","(X)","3.6","2.1","12.7","7.2","1.2","1.9","1.2","1.5","0.0","4.8","0.0","1.8","(X)","(X)","9.0","2.4","21.3","7.9","8.2","5.6","5.1","3.2","3.3","3.1","3.6","3.6","(X)","(X)","9.8","4.0","11.7","7.2","15.8","10.6","6.4","5.9","17.1","10.8","4.0","4.5","(X)","(X)"
"0500000US01051","Elmore County, Alabama","35358","2663","13619","1864","6648","1696","6721","1445","2634","871","5736","1433","9.8","(X)","60.2","4.8","42.1","7.6","51.1","12.6","80.4","6.7","81.7","12.2","79.8","12.1","(X)","(X)","3.0","2.0","2.5","2.8","5.6","6.2","1.3","1.7","7.6","7.8","1.2","1.5","(X)","(X)","8.8","2.7","10.1","4.4","14.0","9.0","4.4","4.7","0.0","6.4","9.2","10.5","(X)","(X)","25.2","4.2","42.7","7.6","26.4","10.6","11.6","7.0","3.8","5.2","8.2","6.7","(X)","(X)","2.8","1.3","2.7","2.2","2.8","3.4","2.4","2.5","6.9","6.4","1.7","2.7","(X)","(X)"
"0500000US01055","Etowah County, Alabama","43451","2202","12799","1896","8615","1741","8934","1534","4483","1098","8620","1637","14.5","(X)","71.1","4.2","60.3","8.4","64.7","10.0","78.2","7.9","66.7","12.4","88.4","5.0","(X)","(X)","2.6","1.3","4.2","2.8","0.0","2.0","1.4","1.7","8.0","7.3","1.4","1.8","(X)","(X)","4.4","1.5","6.1","2.9","5.6","4.4","4.0","3.1","2.0","3.4","2.4","2.4","(X)","(X)","16.7","3.8","25.6","7.6","19.8","9.2","12.7","6.8","14.3","10.4","5.7","4.0","(X)","(X)","5.2","1.7","3.8","2.6","9.9","5.6","3.7","2.7","9.1","7.2","2.1","2.9","(X)","(X)"
"0500000US01069","Houston County, Alabama","43516","1603","13963","1173","9213","1123","10195","1245","3719","779","6426","935","10.1","(X)","71.4","2.2","54.9","3.9","72.7","5.3","79.2","4.2","78.7","8.0","89.2","2.9","(X)","(X)","3.9","0.9","5.2","1.6","2.0","1.7","6.1","2.8","1.3","1.0","1.5","0.9","(X)","(X)","6.7","1.0","13.1","2.9","5.0","1.7","5.0","1.9","0.0","4.6","1.9","1.4","(X)","(X)","12.4","1.5","20.6","3.5","12.1","3.6","5.8","1.8","12.0","5.9","5.6","2.3","(X)","(X)","5.6","1.3","6.2","2.9","8.2","3.0","4.0","1.5","8.1","4.4","1.9","1.1","(X)","(X)"
"0500000US01073","Jefferson County, Alabama","305647","7093","126043","6007","52489","4188","63625","4825","18247","2703","45243","3929","16.2","(X)","67.3","1.9","52.6","2.8","70.1","3.7","76.2","3.7","74.3","6.3","90.0","2.8","(X)","(X)","4.0","0.7","5.0","1.2","3.3","1.6","4.1","1.6","6.4","3.7","0.9","0.6","(X)","(X)","9.7","1.3","16.6","2.4","5.4","1.9","7.1","2.4","0.9","1.4","2.9","1.6","(X)","(X)","14.5","1.4","22.1","2.6","13.2","2.7","10.1","2.5","8.2","4.0","3.6","1.9","(X)","(X)","4.4","0.7","3.7","0.9","8.0","2.3","2.5","1.0","10.2","4.8","2.6","1.4","(X)","(X)"
"0500000US01077","Lauderdale County, Alabama","40401","2594","11221","1670","7156","1764","9942","1814","5074","1354","7008","1554","13.3","(X)","76.3","3.3","59.1","8.6","84.1","7.2","83.5","5.5","80.5","10.0","82.4","8.5","(X)","(X)","2.7","1.3","3.6","3.1","1.1","1.6","2.6","2.2","2.9","3.4","3.1","3.7","(X)","(X)","2.5","1.1","6.2","3.6","0.9","0.9","1.9","1.7","1.4","2.4","0.0","2.5","(X)","(X)","12.9","2.4","25.1","6.1","9.3","6.1","9.3","4.8","4.4","3.9","8.4","5.9","(X)","(X)","5.6","2.0","6.0","5.4","4.6","3.0","2.7","2.0","10.8","9.4","6.2","5.3","(X)","(X)"
"0500000US01081","Lee County, Alabama","81858","3379","38197","3507","15045","3024","13255","2335","6402","1753","8959","2139","15.5","(X)","64.2","3.7","50.6","6.0","65.7","8.9","76.7","7.0","77.6","12.3","92.3","5.2","(X)","(X)","2.2","1.0","2.4","1.6","1.8","2.6","4.3","3.1","0.7","1.2","0.0","1.9","(X)","(X)","5.8","1.7","9.9","3.6","1.5","1.4","5.6","3.4","0.0","2.7","0.0","1.9","(X)","(X)","23.4","3.4","34.9","5.8","23.0","8.9","10.0","5.4","6.9","5.8","7.0","5.1","(X)","(X)","4.3","1.2","2.2","1.3","8.1","4.6","3.4","2.5","14.8","11.4","0.7","1.2","(X)","(X)"
"0500000US01083","Limestone County, Alabama","39446","3050","14147","2003","5197","1367","7553","1883","5038","1765","7511","1741","12.1","(X)","71.8","5.1","59.5","8.2","72.3","12.1","74.4","10.1","75.4","11.5","89.9","6.9","(X)","(X)","1.9","1.2","2.0","2.5","0.0","3.3","3.5","3.1","3.2","3.7","0.7","1.2","(X)","(X)","6.1","2.1","13.9","5.3","1.7","2.1","2.1","3.0","0.0","3.4","2.7","3.4","(X)","(X)","14.8","3.8","21.7","8.0","18.9","10.1","13.6","6.7","6.0","5.3","6.2","5.9","(X)","(X)","5.3","2.1","2.9","3.1","7.1","6.0","6.4","5.2","15.5","9.1","0.5","0.9","(X)","(X)"
"0500000US01089","Madison County, Alabama","187518","4818","88621","5090","32061","3174","33740","2913","11775","1850","21321","3137","11.7","(X)","67.1","2.4","57.3","3.1","65.5","5.6","78.7","3.4","77.3","6.6","86.6","5.2","(X)","(X)","3.2","0.8","3.5","1.0","2.1","1.3","3.6","2.1","5.0","4.0","1.9","1.7","(X)","(X)","7.0","1.1","10.7","1.8","5.2","2.2","4.8","1.6","0.7","0.8","1.6","1.5","(X)","(X)","17.7","1.9","25.5","2.4","15.6","4.8","8.6","2.2","8.0","4.9","8.5","4.1","(X)","(X)","5.0","1.0","3.1","0.9","11.6","4.2","4.3","2.4","9.0","4.5","1.4","1.1","(X)","(X)"
"0500000US01095","Marshall County, Alabama","41717","1835","12479","1917","6417","1343","8137","1368","3952","1111","10732","1687","11.7","(X)","73.9","3.2","53.9","6.2","65.9","9.6","77.4","8.7","84.4","9.8","95.2","2.7","(X)","(X)","3.5","1.5","5.9","3.1","3.9","4.1","5.1","3.2","0.4","0.5","0.5","0.8","(X)","(X)","4.4","1.5","9.5","3.6","5.8","4.0","3.3","3.1","0.0","4.3","0.1","0.2","(X)","(X)","12.1","2.7","23.1","6.2","10.8","5.3","9.6","6.4","11.3","9.9","2.2","1.7","(X)","(X)","6.1","2.3","7.5","5.0","13.5","8.4","4.6","5.2","3.9","3.0","2.0","1.7","(X)","(X)"
"0500000US01097","Mobile County, Alabama","177379","5256","61621","4700","30671","3555","36692","3663","20066","3005","28329","2896","12.5","(X)","68.3","1.9","56.8","4.0","60.9","4.6","76.0","4.0","76.0","8.2","86.3","3.6","(X)","(X)","2.8","0.7","3.3","1.3","2.1","1.3","3.3","1.5","1.7","1.9","2.3","1.3","(X)","(X)","8.5","1.4","13.1","2.9","11.9","4.0","6.9","2.5","2.6","2.2","1.2","1.0","(X)","(X)","15.1","1.5","21.8","2.9","17.6","3.6","12.1","2.7","7.4","3.9","7.0","2.9","(X)","(X)","5.3","1.1","5.0","1.8","7.4","3.0","1.8","1.0","12.2","6.3","3.2","1.8","(X)","(X)"
