County,Agency_Name,Offense_Description,Min_months_submitted,Year,Offense_Count
Bayfield,Bayfield PD,Human Trafficking - Involuntary Servitude,12,2020,0
Bayfield,Bayfield Co SO,Human Trafficking - Involuntary Servitude,12,2020,0
Bayfield,Washburn PD,Human Trafficking - Commercial Sex,12,2020,0
Bayfield,Iron River PD,Human Trafficking - Commercial Sex,12,2020,0
Bayfield,Bayfield PD,Human Trafficking - Commercial Sex,12,2020,0
Bayfield,Bayfield Co SO,Human Trafficking - Commercial Sex,12,2020,0
Bayfield,Washburn PD,Simple Assault,12,2020,1
Bayfield,Iron River PD,Simple Assault,12,2020,3
Bayfield,Bayfield PD,Simple Assault,12,2020,1
Bayfield,Bayfield Co SO,Simple Assault,12,2020,6
Bayfield,Washburn PD,Arson,12,2020,0
Bayfield,Iron River PD,Arson,12,2020,0
Bayfield,Bayfield PD,Arson,12,2020,0
Bayfield,Bayfield Co SO,Arson,12,2020,2
Bayfield,Washburn PD,Motor Vehicle Theft,12,2020,0
Bayfield,Iron River PD,Motor Vehicle Theft,12,2020,0
Bayfield,Bayfield PD,Motor Vehicle Theft,12,2020,0
Bayfield,Bayfield Co SO,Motor Vehicle Theft,12,2020,10
Bayfield,Washburn PD,Larceny Theft,12,2020,7
Bayfield,Iron River PD,Larceny Theft,12,2020,7
Bayfield,Bayfield PD,Larceny Theft,12,2020,13
Bayfield,Bayfield Co SO,Larceny Theft,12,2020,65
Bayfield,Washburn PD,Burglary,12,2020,2
Bayfield,Iron River PD,Burglary,12,2020,5
Bayfield,Bayfield PD,Burglary,12,2020,2
Bayfield,Bayfield Co SO,Burglary,12,2020,18
Bayfield,Washburn PD,Aggravated Assault,12,2020,5
Bayfield,Iron River PD,Aggravated Assault,12,2020,2
Bayfield,Bayfield PD,Aggravated Assault,12,2020,2
Bayfield,Bayfield Co SO,Aggravated Assault,12,2020,13
Bayfield,Washburn PD,Robbery,12,2020,0
Bayfield,Iron River PD,Robbery,12,2020,0
Bayfield,Bayfield PD,Robbery,12,2020,0
Bayfield,Bayfield Co SO,Robbery,12,2020,0
Bayfield,Washburn PD,Rape - revised 2017,12,2020,2
Bayfield,Iron River PD,Rape - revised 2017,12,2020,0
Bayfield,Bayfield PD,Rape - revised 2017,12,2020,0
Bayfield,Bayfield Co SO,Rape - revised 2017,12,2020,1
Bayfield,Washburn PD,Homicide,12,2020,0
Bayfield,Iron River PD,Homicide,12,2020,0
Bayfield,Bayfield PD,Homicide,12,2020,0
Bayfield,Bayfield Co SO,Homicide,12,2020,1
Brown,UW-Green Bay PD,Human Trafficking - Involuntary Servitude,12,2020,0
Brown,Pulaski PD,Human Trafficking - Involuntary Servitude,12,2020,0
Brown,Hobart-Lawrence PD,Human Trafficking - Involuntary Servitude,12,2020,0
Brown,Green Bay PD,Human Trafficking - Involuntary Servitude,12,2020,0
Brown,De Pere PD,Human Trafficking - Involuntary Servitude,12,2020,0
Brown,Brown Co SO,Human Trafficking - Involuntary Servitude,12,2020,0
Brown,Ashwaubenon PD,Human Trafficking - Involuntary Servitude,12,2020,0
Brown,UW-Green Bay PD,Human Trafficking - Commercial Sex,12,2020,0
Brown,Pulaski PD,Human Trafficking - Commercial Sex,12,2020,0
Brown,Hobart-Lawrence PD,Human Trafficking - Commercial Sex,12,2020,0
Brown,Green Bay PD,Human Trafficking - Commercial Sex,12,2020,25
Brown,De Pere PD,Human Trafficking - Commercial Sex,12,2020,0
Brown,Brown Co SO,Human Trafficking - Commercial Sex,12,2020,0
Brown,Ashwaubenon PD,Human Trafficking - Commercial Sex,12,2020,0
Brown,UW-Green Bay PD,Simple Assault,12,2020,0
Brown,Pulaski PD,Simple Assault,12,2020,0
Brown,Hobart-Lawrence PD,Simple Assault,12,2020,15
Brown,Green Bay PD,Simple Assault,12,2020,797
Brown,De Pere PD,Simple Assault,12,2020,34
Brown,Brown Co SO,Simple Assault,12,2020,192
Brown,Ashwaubenon PD,Simple Assault,12,2020,57
Brown,UW-Green Bay PD,Arson,12,2020,0
Brown,Pulaski PD,Arson,12,2020,0
Brown,Hobart-Lawrence PD,Arson,12,2020,0
Brown,Green Bay PD,Arson,12,2020,12
Brown,De Pere PD,Arson,12,2020,1
Brown,Brown Co SO,Arson,12,2020,5
Brown,Ashwaubenon PD,Arson,12,2020,0
Brown,UW-Green Bay PD,Motor Vehicle Theft,12,2020,0
Brown,Pulaski PD,Motor Vehicle Theft,12,2020,1
Brown,Hobart-Lawrence PD,Motor Vehicle Theft,12,2020,1
Brown,Green Bay PD,Motor Vehicle Theft,12,2020,115
Brown,De Pere PD,Motor Vehicle Theft,12,2020,5
Brown,Brown Co SO,Motor Vehicle Theft,12,2020,27
Brown,Ashwaubenon PD,Motor Vehicle Theft,12,2020,28
Brown,UW-Green Bay PD,Larceny Theft,12,2020,12
Brown,Pulaski PD,Larceny Theft,12,2020,22
Brown,Hobart-Lawrence PD,Larceny Theft,12,2020,41
Brown,Green Bay PD,Larceny Theft,12,2020,"1,277"
Brown,De Pere PD,Larceny Theft,12,2020,152
Brown,Brown Co SO,Larceny Theft,12,2020,605
Brown,Ashwaubenon PD,Larceny Theft,12,2020,241
Brown,UW-Green Bay PD,Burglary,12,2020,0
Brown,Pulaski PD,Burglary,12,2020,0
Brown,Hobart-Lawrence PD,Burglary,12,2020,63
Brown,Green Bay PD,Burglary,12,2020,206
Brown,De Pere PD,Burglary,12,2020,22
Brown,Brown Co SO,Burglary,12,2020,38
Brown,Ashwaubenon PD,Burglary,12,2020,15
Brown,UW-Green Bay PD,Aggravated Assault,12,2020,0
Brown,Pulaski PD,Aggravated Assault,12,2020,6
Brown,Hobart-Lawrence PD,Aggravated Assault,12,2020,7
Brown,Green Bay PD,Aggravated Assault,12,2020,426
Brown,De Pere PD,Aggravated Assault,12,2020,20
Brown,Brown Co SO,Aggravated Assault,12,2020,49
Brown,Ashwaubenon PD,Aggravated Assault,12,2020,17
Brown,UW-Green Bay PD,Robbery,12,2020,0
Brown,Pulaski PD,Robbery,12,2020,0
