State,County,Rural_urban_Continuum_Code_2003,Urban_Influence_Code_2003,Rural_urban_Continuum_Code_2013,Urban_Influence_Code_2013,Less_than_a_high_school_diploma_1970,High_school_diploma_only_1970,Some_college_1970,Four_years_of_college_or_higher_1970,Percent_less_than_a_high_school_diploma_1970,Percent_high_school_diploma_only_1970,Percent_some_college_1970,Percent_bachelors_degree_or_higher_1970,Less_than_a_high_school_diploma_1980,High_school_diploma_only_1980,Some_college_1980,Four_years_of_college_or_higher_1980,Percent_less_than_a_high_school_diploma_1980,Percent_high_school_diploma_only_1980,Percent_some_college_1980,Percent_bachelors_degree_or_higher_1980,Less_than_a_high_school_diploma_1990,High_school_diploma_only_1990,Some_college_or_associates_degree_1990,Bachelors_degree_or_higher_1990,Percent_less_than_a_high_school_diploma_1990,Percent_high_school_diploma_only_1990,Percent_some_college_or_associates_degree_1990,Percent_bachelors_degree_or_higher_1990,Less_than_a_high_school_diploma_2000,High_school_diploma_only_2000,Some_college_or_associates_degree_2000,Bachelors_degree_or_higher_2000,Percent_less_than_a_high_school_diploma_2000,Percent_high_school_diploma_only_2000,Percent_some_college_or_associates_degree_2000,Percent_bachelors_degree_or_higher_2000,Less_than_a_high_school_diploma_2015_19,High_school_diploma_only_2015_19,Some_college_or_associates_degree_2015_19,Bachelors_degree_or_higher_2015_19,Percent_less_than_a_high_school_diploma_2015_19,Percent_high_school_diploma_only_2015_19,Percent_some_college_or_associates_degree_2015_19,Percent_bachelors_degree_or_higher_2015_19
WI,Taylor,6,6,6,6,5434,2214,688,432,62,25.3,7.8,4.9,4700,3846,1036,826,45.2,37,10,7.9,3642,4936,2020,1078,31.2,42.3,17.3,9.2,2792,5713,2949,1418,21.7,44.4,22.9,11,1641,6123,4201,2129,11.6,43.4,29.8,15.1
WI,Trempealeau,8,7,6,6,7752,4063,898,682,57.9,30.3,6.7,5.1,6281,6256,1649,1483,40.1,39.9,10.5,9.5,4714,6995,3265,1674,28.3,42,19.6,10.1,3494,7485,4906,2432,19.1,40.9,26.8,13.3,1870,7828,6486,3865,9.3,39,32.4,19.3
WI,Vernon,6,6,6,6,8446,3924,1259,779,58.6,27.2,8.7,5.4,6539,5651,2164,1597,41,35.4,13.6,10,5198,6303,3491,1891,30.8,37.3,20.7,11.2,3902,7109,4884,2578,21.1,38.5,26.4,14,2182,7767,6028,4601,10.6,37.7,29.3,22.4
WI,Vilas,9,12,9,12,3234,2340,696,540,47.5,34.4,10.2,7.9,3315,4496,1912,1285,30.1,40.8,17.4,11.7,3057,4687,3318,1753,23.9,36.6,25.9,13.7,2280,6233,4400,2754,14.6,39.8,28.1,17.6,1072,5117,5915,4963,6.3,30,34.7,29.1
WI,Walworth,4,3,4,3,13130,11942,3918,3754,40.1,36.5,12,11.5,11800,16543,6125,6243,29,40.6,15,15.3,9806,17175,11560,8201,21,36.7,24.7,17.5,9204,19459,16818,12672,15.8,33.5,28.9,21.8,6236,21302,20945,19601,9.2,31.3,30.8,28.8
WI,Washburn,6,6,7,11,3362,1926,623,409,53.2,30.5,9.9,6.5,2908,3411,1023,849,35.5,41.6,12.5,10.4,2338,3767,2006,1186,25.1,40.5,21.6,12.8,1828,4464,3241,1715,16.3,39.7,28.8,15.2,920,3982,4221,2722,7.8,33.6,35.6,23
WI,Washington,1,1,1,1,14510,11858,2898,2524,45.6,37.3,9.1,7.9,13013,20691,6479,6440,27.9,44.4,13.9,13.8,11118,23813,15174,9478,18.7,40,25.5,15.9,8738,27308,24606,17057,11.2,35.1,31.7,21.9,4873,28809,31560,29936,5.1,30.3,33.2,31.5
WI,Waukesha,1,1,1,1,37742,45426,15614,17950,32.3,38.9,13.4,15.4,30100,65227,29628,34262,18.9,41,18.6,21.5,23522,63044,56285,52986,12,32.2,28.7,27.1,19410,66651,72975,82263,8,27.6,30.2,34.1,10637,63919,82126,125457,3.8,22.7,29.1,44.5
WI,Waupaca,6,6,6,6,11757,7359,1830,1305,52.8,33.1,8.2,5.9,9819,10878,2924,2409,37.7,41.8,11.2,9.3,8389,13149,5265,3306,27.9,43.7,17.5,11,6022,15148,8400,5156,17.3,43.6,24.2,14.8,3031,15141,11556,7407,8.2,40.8,31.1,19.9
WI,Waushara,8,6,6,6,4990,2579,772,444,56.8,29.4,8.8,5.1,4794,4539,1332,1022,41,38.8,11.4,8.7,3994,5539,2457,1326,30,41.6,18.5,10,3457,7034,3908,1911,21.2,43.1,24,11.7,2418,7668,5218,2971,13.2,42,28.6,16.3
WI,Winnebago,3,2,3,2,28166,24911,6440,6844,42.4,37.5,9.7,10.3,21101,32603,10166,11547,28,43.2,13.5,15.3,17241,35255,20302,16162,19.4,39.6,22.8,18.2,13867,37849,26351,23028,13.7,37.4,26.1,22.8,8193,38353,35736,32554,7.1,33.4,31.1,28.3
WI,Wood,4,5,4,5,15062,12743,2979,2697,45,38.1,8.9,8.1,13160,18249,4920,4666,32.1,44.5,12,11.4,10157,19986,10338,6315,21.7,42.7,22.1,13.5,7662,20618,13493,8486,15.2,41,26.8,16.9,3807,19850,17243,11301,7.3,38,33,21.6
