County,Agency Name,Offense Description,Agency Name,County,Offense Description,Min. months_submitted,Min. year of year,Offense Count
Dodge,Dodge Co SO,Larceny Theft,Dodge Co SO,Dodge,Larceny Theft,12,2019,124
Dodge,Brownsville PD,Larceny Theft,Brownsville PD,Dodge,Larceny Theft,12,2019,2
Dodge,Beaver Dam Township PD,Larceny Theft,Beaver Dam Township PD,Dodge,Larceny Theft,12,2019,3
Dodge,Beaver Dam PD,Larceny Theft,Beaver Dam PD,Dodge,Larceny Theft,12,2019,226
Dodge,Waupun PD,Burglary,Waupun PD,Dodge,Burglary,12,2019,9
Dodge,Theresa PD,Burglary,Theresa PD,Dodge,Burglary,12,2019,0
Dodge,Mayville PD,Burglary,Mayville PD,Dodge,Burglary,12,2019,1
Dodge,Lomira PD,Burglary,Lomira PD,Dodge,Burglary,12,2019,0
Dodge,Juneau PD,Burglary,Juneau PD,Dodge,Burglary,12,2019,1
Dodge,Iron Ridge PD,Burglary,Iron Ridge PD,Dodge,Burglary,12,2019,0
Dodge,Horicon PD,Burglary,Horicon PD,Dodge,Burglary,12,2019,0
Dodge,Fox Lake PD,Burglary,Fox Lake PD,Dodge,Burglary,12,2019,2
Dodge,Dodge Co SO,Burglary,Dodge Co SO,Dodge,Burglary,12,2019,16
Dodge,Brownsville PD,Burglary,Brownsville PD,Dodge,Burglary,12,2019,0
Dodge,Beaver Dam Township PD,Burglary,Beaver Dam Township PD,Dodge,Burglary,12,2019,1
Dodge,Beaver Dam PD,Burglary,Beaver Dam PD,Dodge,Burglary,12,2019,27
Dodge,Waupun PD,Aggravated Assault,Waupun PD,Dodge,Aggravated Assault,12,2019,1
Dodge,Theresa PD,Aggravated Assault,Theresa PD,Dodge,Aggravated Assault,12,2019,0
Dodge,Mayville PD,Aggravated Assault,Mayville PD,Dodge,Aggravated Assault,12,2019,6
Dodge,Lomira PD,Aggravated Assault,Lomira PD,Dodge,Aggravated Assault,12,2019,0
Dodge,Juneau PD,Aggravated Assault,Juneau PD,Dodge,Aggravated Assault,12,2019,4
Dodge,Iron Ridge PD,Aggravated Assault,Iron Ridge PD,Dodge,Aggravated Assault,12,2019,0
Dodge,Horicon PD,Aggravated Assault,Horicon PD,Dodge,Aggravated Assault,12,2019,2
Dodge,Fox Lake PD,Aggravated Assault,Fox Lake PD,Dodge,Aggravated Assault,12,2019,0
Dodge,Dodge Co SO,Aggravated Assault,Dodge Co SO,Dodge,Aggravated Assault,12,2019,22
Dodge,Brownsville PD,Aggravated Assault,Brownsville PD,Dodge,Aggravated Assault,12,2019,0
Dodge,Beaver Dam Township PD,Aggravated Assault,Beaver Dam Township PD,Dodge,Aggravated Assault,12,2019,0
Dodge,Beaver Dam PD,Aggravated Assault,Beaver Dam PD,Dodge,Aggravated Assault,12,2019,21
Dodge,Waupun PD,Robbery,Waupun PD,Dodge,Robbery,12,2019,0
Dodge,Theresa PD,Robbery,Theresa PD,Dodge,Robbery,12,2019,0
Dodge,Mayville PD,Robbery,Mayville PD,Dodge,Robbery,12,2019,0
Dodge,Lomira PD,Robbery,Lomira PD,Dodge,Robbery,12,2019,0
Dodge,Juneau PD,Robbery,Juneau PD,Dodge,Robbery,12,2019,0
Dodge,Iron Ridge PD,Robbery,Iron Ridge PD,Dodge,Robbery,12,2019,0
Dodge,Horicon PD,Robbery,Horicon PD,Dodge,Robbery,12,2019,0
Dodge,Fox Lake PD,Robbery,Fox Lake PD,Dodge,Robbery,12,2019,0
Dodge,Dodge Co SO,Robbery,Dodge Co SO,Dodge,Robbery,12,2019,2
Dodge,Brownsville PD,Robbery,Brownsville PD,Dodge,Robbery,12,2019,0
Dodge,Beaver Dam Township PD,Robbery,Beaver Dam Township PD,Dodge,Robbery,12,2019,0
Dodge,Beaver Dam PD,Robbery,Beaver Dam PD,Dodge,Robbery,12,2019,0
Dodge,Waupun PD,Rape - revised 2017,Waupun PD,Dodge,Rape - revised 2017,12,2019,1
Dodge,Theresa PD,Rape - revised 2017,Theresa PD,Dodge,Rape - revised 2017,12,2019,0
Dodge,Mayville PD,Rape - revised 2017,Mayville PD,Dodge,Rape - revised 2017,12,2019,1
Dodge,Lomira PD,Rape - revised 2017,Lomira PD,Dodge,Rape - revised 2017,12,2019,2
Dodge,Juneau PD,Rape - revised 2017,Juneau PD,Dodge,Rape - revised 2017,12,2019,0
Dodge,Iron Ridge PD,Rape - revised 2017,Iron Ridge PD,Dodge,Rape - revised 2017,12,2019,0
Dodge,Horicon PD,Rape - revised 2017,Horicon PD,Dodge,Rape - revised 2017,12,2019,0
Dodge,Fox Lake PD,Rape - revised 2017,Fox Lake PD,Dodge,Rape - revised 2017,12,2019,0
Dodge,Dodge Co SO,Rape - revised 2017,Dodge Co SO,Dodge,Rape - revised 2017,12,2019,15
Dodge,Brownsville PD,Rape - revised 2017,Brownsville PD,Dodge,Rape - revised 2017,12,2019,0
Dodge,Beaver Dam Township PD,Rape - revised 2017,Beaver Dam Township PD,Dodge,Rape - revised 2017,12,2019,0
Dodge,Beaver Dam PD,Rape - revised 2017,Beaver Dam PD,Dodge,Rape - revised 2017,12,2019,5
Dodge,Waupun PD,Homicide,Waupun PD,Dodge,Homicide,12,2019,1
Dodge,Theresa PD,Homicide,Theresa PD,Dodge,Homicide,12,2019,0
Dodge,Mayville PD,Homicide,Mayville PD,Dodge,Homicide,12,2019,1
Dodge,Lomira PD,Homicide,Lomira PD,Dodge,Homicide,12,2019,0
Dodge,Juneau PD,Homicide,Juneau PD,Dodge,Homicide,12,2019,0
Dodge,Iron Ridge PD,Homicide,Iron Ridge PD,Dodge,Homicide,12,2019,0
Dodge,Horicon PD,Homicide,Horicon PD,Dodge,Homicide,12,2019,0
Dodge,Fox Lake PD,Homicide,Fox Lake PD,Dodge,Homicide,12,2019,0
Dodge,Dodge Co SO,Homicide,Dodge Co SO,Dodge,Homicide,12,2019,0
Dodge,Brownsville PD,Homicide,Brownsville PD,Dodge,Homicide,12,2019,0
Dodge,Beaver Dam Township PD,Homicide,Beaver Dam Township PD,Dodge,Homicide,12,2019,0
Dodge,Beaver Dam PD,Homicide,Beaver Dam PD,Dodge,Homicide,12,2019,1
Door,Sturgeon Bay PD,Human Trafficking - Involuntary Servitude,Sturgeon Bay PD,Door,Human Trafficking - Involuntary Servitude,12,2019,0
Door,Door Co SO,Human Trafficking - Involuntary Servitude,Door Co SO,Door,Human Trafficking - Involuntary Servitude,12,2019,0
Door,Sturgeon Bay PD,Human Trafficking - Commercial Sex,Sturgeon Bay PD,Door,Human Trafficking - Commercial Sex,12,2019,0
Door,Door Co SO,Human Trafficking - Commercial Sex,Door Co SO,Door,Human Trafficking - Commercial Sex,12,2019,0
Door,Sturgeon Bay PD,Simple Assault,Sturgeon Bay PD,Door,Simple Assault,12,2019,23
Door,Door Co SO,Simple Assault,Door Co SO,Door,Simple Assault,12,2019,23
Door,Sturgeon Bay PD,Arson,Sturgeon Bay PD,Door,Arson,12,2019,1
Door,Door Co SO,Arson,Door Co SO,Door,Arson,12,2019,0
Door,Sturgeon Bay PD,Motor Vehicle Theft,Sturgeon Bay PD,Door,Motor Vehicle Theft,12,2019,0
Door,Door Co SO,Motor Vehicle Theft,Door Co SO,Door,Motor Vehicle Theft,12,2019,3
Door,Sturgeon Bay PD,Larceny Theft,Sturgeon Bay PD,Door,Larceny Theft,12,2019,89
Door,Door Co SO,Larceny Theft,Door Co SO,Door,Larceny Theft,12,2019,42
Door,Sturgeon Bay PD,Burglary,Sturgeon Bay PD,Door,Burglary,12,2019,4
Door,Door Co SO,Burglary,Door Co SO,Door,Burglary,12,2019,10
Door,Sturgeon Bay PD,Aggravated Assault,Sturgeon Bay PD,Door,Aggravated Assault,12,2019,4
Door,Door Co SO,Aggravated Assault,Door Co SO,Door,Aggravated Assault,12,2019,6
Door,Sturgeon Bay PD,Robbery,Sturgeon Bay PD,Door,Robbery,12,2019,0
Door,Door Co SO,Robbery,Door Co SO,Door,Robbery,12,2019,0
Door,Sturgeon Bay PD,Rape - revised 2017,Sturgeon Bay PD,Door,Rape - revised 2017,12,2019,0
Door,Door Co SO,Rape - revised 2017,Door Co SO,Door,Rape - revised 2017,12,2019,4
Door,Sturgeon Bay PD,Homicide,Sturgeon Bay PD,Door,Homicide,12,2019,0
Door,Door Co SO,Homicide,Door Co SO,Door,Homicide,12,2019,0
Douglas,UW-Superior PD,Human Trafficking - Involuntary Servitude,UW-Superior PD,Douglas,Human Trafficking - Involuntary Servitude,12,2019,0
Douglas,Superior PD,Human Trafficking - Involuntary Servitude,Superior PD,Douglas,Human Trafficking - Involuntary Servitude,12,2019,0
Douglas,Douglas Co SO,Human Trafficking - Involuntary Servitude,Douglas Co SO,Douglas,Human Trafficking - Involuntary Servitude,12,2019,0
Douglas,UW-Superior PD,Human Trafficking - Commercial Sex,UW-Superior PD,Douglas,Human Trafficking - Commercial Sex,12,2019,0
Douglas,Superior PD,Human Trafficking - Commercial Sex,Superior PD,Douglas,Human Trafficking - Commercial Sex,12,2019,0
Douglas,Douglas Co SO,Human Trafficking - Commercial Sex,Douglas Co SO,Douglas,Human Trafficking - Commercial Sex,12,2019,0
Douglas,UW-Superior PD,Simple Assault,UW-Superior PD,Douglas,Simple Assault,12,2019,0
Douglas,Superior PD,Simple Assault,Superior PD,Douglas,Simple Assault,12,2019,202
Douglas,Douglas Co SO,Simple Assault,Douglas Co SO,Douglas,Simple Assault,12,2019,49
Douglas,UW-Superior PD,Arson,UW-Superior PD,Douglas,Arson,12,2019,0
Douglas,Superior PD,Arson,Superior PD,Douglas,Arson,12,2019,0
Douglas,Douglas Co SO,Arson,Douglas Co SO,Douglas,Arson,12,2019,0
Douglas,UW-Superior PD,Motor Vehicle Theft,UW-Superior PD,Douglas,Motor Vehicle Theft,12,2019,0
Douglas,Superior PD,Motor Vehicle Theft,Superior PD,Douglas,Motor Vehicle Theft,12,2019,61
Douglas,Douglas Co SO,Motor Vehicle Theft,Douglas Co SO,Douglas,Motor Vehicle Theft,12,2019,12
Douglas,UW-Superior PD,Larceny Theft,UW-Superior PD,Douglas,Larceny Theft,12,2019,16
Douglas,Superior PD,Larceny Theft,Superior PD,Douglas,Larceny Theft,12,2019,918
Douglas,Douglas Co SO,Larceny Theft,Douglas Co SO,Douglas,Larceny Theft,12,2019,99
Douglas,UW-Superior PD,Burglary,UW-Superior PD,Douglas,Burglary,12,2019,0
Douglas,Superior PD,Burglary,Superior PD,Douglas,Burglary,12,2019,122
Douglas,Douglas Co SO,Burglary,Douglas Co SO,Douglas,Burglary,12,2019,45
Douglas,UW-Superior PD,Aggravated Assault,UW-Superior PD,Douglas,Aggravated Assault,12,2019,0
Douglas,Superior PD,Aggravated Assault,Superior PD,Douglas,Aggravated Assault,12,2019,54
Douglas,Douglas Co SO,Aggravated Assault,Douglas Co SO,Douglas,Aggravated Assault,12,2019,8
Douglas,UW-Superior PD,Robbery,UW-Superior PD,Douglas,Robbery,12,2019,0
Douglas,Superior PD,Robbery,Superior PD,Douglas,Robbery,12,2019,4
Douglas,Douglas Co SO,Robbery,Douglas Co SO,Douglas,Robbery,12,2019,2
Douglas,UW-Superior PD,Rape - revised 2017,UW-Superior PD,Douglas,Rape - revised 2017,12,2019,0
Douglas,Superior PD,Rape - revised 2017,Superior PD,Douglas,Rape - revised 2017,12,2019,14
Douglas,Douglas Co SO,Rape - revised 2017,Douglas Co SO,Douglas,Rape - revised 2017,12,2019,5
Douglas,UW-Superior PD,Homicide,UW-Superior PD,Douglas,Homicide,12,2019,0
Douglas,Superior PD,Homicide,Superior PD,Douglas,Homicide,12,2019,0
Douglas,Douglas Co SO,Homicide,Douglas Co SO,Douglas,Homicide,12,2019,0
Dunn,UW-Stout PD,Human Trafficking - Involuntary Servitude,UW-Stout PD,Dunn,Human Trafficking - Involuntary Servitude,12,2019,0
Dunn,Menomonie PD,Human Trafficking - Involuntary Servitude,Menomonie PD,Dunn,Human Trafficking - Involuntary Servitude,12,2019,0
Dunn,Elk Mound PD,Human Trafficking - Involuntary Servitude,Elk Mound PD,Dunn,Human Trafficking - Involuntary Servitude,12,2019,0
Dunn,Dunn Co SO,Human Trafficking - Involuntary Servitude,Dunn Co SO,Dunn,Human Trafficking - Involuntary Servitude,12,2019,0
Dunn,Colfax PD,Human Trafficking - Involuntary Servitude,Colfax PD,Dunn,Human Trafficking - Involuntary Servitude,12,2019,0
Dunn,Boyceville PD,Human Trafficking - Involuntary Servitude,Boyceville PD,Dunn,Human Trafficking - Involuntary Servitude,12,2019,0
Dunn,UW-Stout PD,Human Trafficking - Commercial Sex,UW-Stout PD,Dunn,Human Trafficking - Commercial Sex,12,2019,0
Dunn,Menomonie PD,Human Trafficking - Commercial Sex,Menomonie PD,Dunn,Human Trafficking - Commercial Sex,12,2019,0
Dunn,Elk Mound PD,Human Trafficking - Commercial Sex,Elk Mound PD,Dunn,Human Trafficking - Commercial Sex,12,2019,0
Dunn,Dunn Co SO,Human Trafficking - Commercial Sex,Dunn Co SO,Dunn,Human Trafficking - Commercial Sex,12,2019,0
Dunn,Colfax PD,Human Trafficking - Commercial Sex,Colfax PD,Dunn,Human Trafficking - Commercial Sex,12,2019,0
Dunn,Boyceville PD,Human Trafficking - Commercial Sex,Boyceville PD,Dunn,Human Trafficking - Commercial Sex,12,2019,0
Dunn,UW-Stout PD,Simple Assault,UW-Stout PD,Dunn,Simple Assault,12,2019,6
Dunn,Menomonie PD,Simple Assault,Menomonie PD,Dunn,Simple Assault,12,2019,57
Dunn,Elk Mound PD,Simple Assault,Elk Mound PD,Dunn,Simple Assault,12,2019,1
Dunn,Dunn Co SO,Simple Assault,Dunn Co SO,Dunn,Simple Assault,12,2019,122
Dunn,Colfax PD,Simple Assault,Colfax PD,Dunn,Simple Assault,12,2019,1
Dunn,Boyceville PD,Simple Assault,Boyceville PD,Dunn,Simple Assault,12,2019,5
Dunn,UW-Stout PD,Arson,UW-Stout PD,Dunn,Arson,12,2019,0
Dunn,Menomonie PD,Arson,Menomonie PD,Dunn,Arson,12,2019,2
Dunn,Elk Mound PD,Arson,Elk Mound PD,Dunn,Arson,12,2019,0
Dunn,Dunn Co SO,Arson,Dunn Co SO,Dunn,Arson,12,2019,0
Dunn,Colfax PD,Arson,Colfax PD,Dunn,Arson,12,2019,0
Dunn,Boyceville PD,Arson,Boyceville PD,Dunn,Arson,12,2019,0
Dunn,UW-Stout PD,Motor Vehicle Theft,UW-Stout PD,Dunn,Motor Vehicle Theft,12,2019,0
Dunn,Menomonie PD,Motor Vehicle Theft,Menomonie PD,Dunn,Motor Vehicle Theft,12,2019,19
Dunn,Elk Mound PD,Motor Vehicle Theft,Elk Mound PD,Dunn,Motor Vehicle Theft,12,2019,0
Dunn,Dunn Co SO,Motor Vehicle Theft,Dunn Co SO,Dunn,Motor Vehicle Theft,12,2019,14
Dunn,Colfax PD,Motor Vehicle Theft,Colfax PD,Dunn,Motor Vehicle Theft,12,2019,1
Dunn,Boyceville PD,Motor Vehicle Theft,Boyceville PD,Dunn,Motor Vehicle Theft,12,2019,0
Dunn,UW-Stout PD,Larceny Theft,UW-Stout PD,Dunn,Larceny Theft,12,2019,57
Dunn,Menomonie PD,Larceny Theft,Menomonie PD,Dunn,Larceny Theft,12,2019,240
Dunn,Elk Mound PD,Larceny Theft,Elk Mound PD,Dunn,Larceny Theft,12,2019,20
Dunn,Dunn Co SO,Larceny Theft,Dunn Co SO,Dunn,Larceny Theft,12,2019,51
Dunn,Colfax PD,Larceny Theft,Colfax PD,Dunn,Larceny Theft,12,2019,5
Dunn,Boyceville PD,Larceny Theft,Boyceville PD,Dunn,Larceny Theft,12,2019,11
Dunn,UW-Stout PD,Burglary,UW-Stout PD,Dunn,Burglary,12,2019,2
Dunn,Menomonie PD,Burglary,Menomonie PD,Dunn,Burglary,12,2019,20
Dunn,Elk Mound PD,Burglary,Elk Mound PD,Dunn,Burglary,12,2019,1
Dunn,Dunn Co SO,Burglary,Dunn Co SO,Dunn,Burglary,12,2019,17
Dunn,Colfax PD,Burglary,Colfax PD,Dunn,Burglary,12,2019,0
Dunn,Boyceville PD,Burglary,Boyceville PD,Dunn,Burglary,12,2019,3
Dunn,UW-Stout PD,Aggravated Assault,UW-Stout PD,Dunn,Aggravated Assault,12,2019,0
Dunn,Menomonie PD,Aggravated Assault,Menomonie PD,Dunn,Aggravated Assault,12,2019,28
Dunn,Elk Mound PD,Aggravated Assault,Elk Mound PD,Dunn,Aggravated Assault,12,2019,3
Dunn,Dunn Co SO,Aggravated Assault,Dunn Co SO,Dunn,Aggravated Assault,12,2019,39
Dunn,Colfax PD,Aggravated Assault,Colfax PD,Dunn,Aggravated Assault,12,2019,2
Dunn,Boyceville PD,Aggravated Assault,Boyceville PD,Dunn,Aggravated Assault,12,2019,0
Dunn,UW-Stout PD,Robbery,UW-Stout PD,Dunn,Robbery,12,2019,0
Dunn,Menomonie PD,Robbery,Menomonie PD,Dunn,Robbery,12,2019,1
Dunn,Elk Mound PD,Robbery,Elk Mound PD,Dunn,Robbery,12,2019,0
Dunn,Dunn Co SO,Robbery,Dunn Co SO,Dunn,Robbery,12,2019,1
Dunn,Colfax PD,Robbery,Colfax PD,Dunn,Robbery,12,2019,0
Dunn,Boyceville PD,Robbery,Boyceville PD,Dunn,Robbery,12,2019,1
Dunn,UW-Stout PD,Rape - revised 2017,UW-Stout PD,Dunn,Rape - revised 2017,12,2019,6
Dunn,Menomonie PD,Rape - revised 2017,Menomonie PD,Dunn,Rape - revised 2017,12,2019,7
Dunn,Elk Mound PD,Rape - revised 2017,Elk Mound PD,Dunn,Rape - revised 2017,12,2019,0
Dunn,Dunn Co SO,Rape - revised 2017,Dunn Co SO,Dunn,Rape - revised 2017,12,2019,5
Dunn,Colfax PD,Rape - revised 2017,Colfax PD,Dunn,Rape - revised 2017,12,2019,0
Dunn,Boyceville PD,Rape - revised 2017,Boyceville PD,Dunn,Rape - revised 2017,12,2019,2
Dunn,UW-Stout PD,Homicide,UW-Stout PD,Dunn,Homicide,12,2019,0
Dunn,Menomonie PD,Homicide,Menomonie PD,Dunn,Homicide,12,2019,0
Dunn,Elk Mound PD,Homicide,Elk Mound PD,Dunn,Homicide,12,2019,0
Dunn,Dunn Co SO,Homicide,Dunn Co SO,Dunn,Homicide,12,2019,0
Dunn,Colfax PD,Homicide,Colfax PD,Dunn,Homicide,12,2019,0
Dunn,Boyceville PD,Homicide,Boyceville PD,Dunn,Homicide,12,2019,0
Eau Claire,UW-Eau Claire PD,Human Trafficking - Involuntary Servitude,UW-Eau Claire PD,Eau Claire,Human Trafficking - Involuntary Servitude,12,2019,0
Eau Claire,Fall Creek PD,Human Trafficking - Involuntary Servitude,Fall Creek PD,Eau Claire,Human Trafficking - Involuntary Servitude,12,2019,0
Eau Claire,Eau Claire PD,Human Trafficking - Involuntary Servitude,Eau Claire PD,Eau Claire,Human Trafficking - Involuntary Servitude,12,2019,0
Eau Claire,Eau Claire Co SO,Human Trafficking - Involuntary Servitude,Eau Claire Co SO,Eau Claire,Human Trafficking - Involuntary Servitude,12,2019,0
Eau Claire,Altoona PD,Human Trafficking - Involuntary Servitude,Altoona PD,Eau Claire,Human Trafficking - Involuntary Servitude,12,2019,0
Eau Claire,UW-Eau Claire PD,Human Trafficking - Commercial Sex,UW-Eau Claire PD,Eau Claire,Human Trafficking - Commercial Sex,12,2019,0
Eau Claire,Fall Creek PD,Human Trafficking - Commercial Sex,Fall Creek PD,Eau Claire,Human Trafficking - Commercial Sex,12,2019,0
Eau Claire,Eau Claire PD,Human Trafficking - Commercial Sex,Eau Claire PD,Eau Claire,Human Trafficking - Commercial Sex,12,2019,1
Eau Claire,Eau Claire Co SO,Human Trafficking - Commercial Sex,Eau Claire Co SO,Eau Claire,Human Trafficking - Commercial Sex,12,2019,1
Eau Claire,Altoona PD,Human Trafficking - Commercial Sex,Altoona PD,Eau Claire,Human Trafficking - Commercial Sex,12,2019,0
Eau Claire,UW-Eau Claire PD,Simple Assault,UW-Eau Claire PD,Eau Claire,Simple Assault,12,2019,4
Eau Claire,Fall Creek PD,Simple Assault,Fall Creek PD,Eau Claire,Simple Assault,12,2019,1
Eau Claire,Eau Claire PD,Simple Assault,Eau Claire PD,Eau Claire,Simple Assault,12,2019,811
Eau Claire,Eau Claire Co SO,Simple Assault,Eau Claire Co SO,Eau Claire,Simple Assault,12,2019,108
Eau Claire,Altoona PD,Simple Assault,Altoona PD,Eau Claire,Simple Assault,12,2019,32
Eau Claire,UW-Eau Claire PD,Arson,UW-Eau Claire PD,Eau Claire,Arson,12,2019,0
Eau Claire,Fall Creek PD,Arson,Fall Creek PD,Eau Claire,Arson,12,2019,0
Eau Claire,Eau Claire PD,Arson,Eau Claire PD,Eau Claire,Arson,12,2019,2
Eau Claire,Eau Claire Co SO,Arson,Eau Claire Co SO,Eau Claire,Arson,12,2019,1
Eau Claire,Altoona PD,Arson,Altoona PD,Eau Claire,Arson,12,2019,0
Eau Claire,UW-Eau Claire PD,Motor Vehicle Theft,UW-Eau Claire PD,Eau Claire,Motor Vehicle Theft,12,2019,0
Eau Claire,Fall Creek PD,Motor Vehicle Theft,Fall Creek PD,Eau Claire,Motor Vehicle Theft,12,2019,0
Eau Claire,Eau Claire PD,Motor Vehicle Theft,Eau Claire PD,Eau Claire,Motor Vehicle Theft,12,2019,66
Eau Claire,Eau Claire Co SO,Motor Vehicle Theft,Eau Claire Co SO,Eau Claire,Motor Vehicle Theft,12,2019,19
Eau Claire,Altoona PD,Motor Vehicle Theft,Altoona PD,Eau Claire,Motor Vehicle Theft,12,2019,3
Eau Claire,UW-Eau Claire PD,Larceny Theft,UW-Eau Claire PD,Eau Claire,Larceny Theft,12,2019,29
Eau Claire,Fall Creek PD,Larceny Theft,Fall Creek PD,Eau Claire,Larceny Theft,12,2019,8
Eau Claire,Eau Claire PD,Larceny Theft,Eau Claire PD,Eau Claire,Larceny Theft,12,2019,"1,325"
Eau Claire,Eau Claire Co SO,Larceny Theft,Eau Claire Co SO,Eau Claire,Larceny Theft,12,2019,108
Eau Claire,Altoona PD,Larceny Theft,Altoona PD,Eau Claire,Larceny Theft,12,2019,90
Eau Claire,UW-Eau Claire PD,Burglary,UW-Eau Claire PD,Eau Claire,Burglary,12,2019,7
Eau Claire,Fall Creek PD,Burglary,Fall Creek PD,Eau Claire,Burglary,12,2019,1
Eau Claire,Eau Claire PD,Burglary,Eau Claire PD,Eau Claire,Burglary,12,2019,252
Eau Claire,Eau Claire Co SO,Burglary,Eau Claire Co SO,Eau Claire,Burglary,12,2019,65
Eau Claire,Altoona PD,Burglary,Altoona PD,Eau Claire,Burglary,12,2019,16
Eau Claire,UW-Eau Claire PD,Aggravated Assault,UW-Eau Claire PD,Eau Claire,Aggravated Assault,12,2019,0
Eau Claire,Fall Creek PD,Aggravated Assault,Fall Creek PD,Eau Claire,Aggravated Assault,12,2019,1
Eau Claire,Eau Claire PD,Aggravated Assault,Eau Claire PD,Eau Claire,Aggravated Assault,12,2019,114
Eau Claire,Eau Claire Co SO,Aggravated Assault,Eau Claire Co SO,Eau Claire,Aggravated Assault,12,2019,13
Eau Claire,Altoona PD,Aggravated Assault,Altoona PD,Eau Claire,Aggravated Assault,12,2019,5
Eau Claire,UW-Eau Claire PD,Robbery,UW-Eau Claire PD,Eau Claire,Robbery,12,2019,0
Eau Claire,Fall Creek PD,Robbery,Fall Creek PD,Eau Claire,Robbery,12,2019,0
Eau Claire,Eau Claire PD,Robbery,Eau Claire PD,Eau Claire,Robbery,12,2019,21
Eau Claire,Eau Claire Co SO,Robbery,Eau Claire Co SO,Eau Claire,Robbery,12,2019,0
Eau Claire,Altoona PD,Robbery,Altoona PD,Eau Claire,Robbery,12,2019,0
Eau Claire,UW-Eau Claire PD,Rape - revised 2017,UW-Eau Claire PD,Eau Claire,Rape - revised 2017,12,2019,2
Eau Claire,Fall Creek PD,Rape - revised 2017,Fall Creek PD,Eau Claire,Rape - revised 2017,12,2019,0
Eau Claire,Eau Claire PD,Rape - revised 2017,Eau Claire PD,Eau Claire,Rape - revised 2017,12,2019,59
Eau Claire,Eau Claire Co SO,Rape - revised 2017,Eau Claire Co SO,Eau Claire,Rape - revised 2017,12,2019,17
Eau Claire,Altoona PD,Rape - revised 2017,Altoona PD,Eau Claire,Rape - revised 2017,12,2019,4
Eau Claire,UW-Eau Claire PD,Homicide,UW-Eau Claire PD,Eau Claire,Homicide,12,2019,0
Eau Claire,Fall Creek PD,Homicide,Fall Creek PD,Eau Claire,Homicide,12,2019,0
Eau Claire,Eau Claire PD,Homicide,Eau Claire PD,Eau Claire,Homicide,12,2019,0
Eau Claire,Eau Claire Co SO,Homicide,Eau Claire Co SO,Eau Claire,Homicide,12,2019,0
Eau Claire,Altoona PD,Homicide,Altoona PD,Eau Claire,Homicide,12,2019,0
Florence,Florence Co SO,Human Trafficking - Involuntary Servitude,Florence Co SO,Florence,Human Trafficking - Involuntary Servitude,12,2019,0
Florence,Florence Co SO,Human Trafficking - Commercial Sex,Florence Co SO,Florence,Human Trafficking - Commercial Sex,12,2019,0
Florence,Florence Co SO,Simple Assault,Florence Co SO,Florence,Simple Assault,12,2019,23
Florence,Florence Co SO,Arson,Florence Co SO,Florence,Arson,12,2019,0
Florence,Florence Co SO,Motor Vehicle Theft,Florence Co SO,Florence,Motor Vehicle Theft,12,2019,1
Florence,Florence Co SO,Larceny Theft,Florence Co SO,Florence,Larceny Theft,12,2019,15
Florence,Florence Co SO,Burglary,Florence Co SO,Florence,Burglary,12,2019,0
Florence,Florence Co SO,Aggravated Assault,Florence Co SO,Florence,Aggravated Assault,12,2019,10
Florence,Florence Co SO,Robbery,Florence Co SO,Florence,Robbery,12,2019,0
Florence,Florence Co SO,Rape - revised 2017,Florence Co SO,Florence,Rape - revised 2017,12,2019,1
Florence,Florence Co SO,Homicide,Florence Co SO,Florence,Homicide,12,2019,0
Fond Du Lac,Rosendale PD,Human Trafficking - Involuntary Servitude,Rosendale PD,Fond Du Lac,Human Trafficking - Involuntary Servitude,12,2019,0
Fond Du Lac,Ripon Township PD,Human Trafficking - Involuntary Servitude,Ripon Township PD,Fond Du Lac,Human Trafficking - Involuntary Servitude,12,2019,0
Fond Du Lac,Ripon PD,Human Trafficking - Involuntary Servitude,Ripon PD,Fond Du Lac,Human Trafficking - Involuntary Servitude,12,2019,0
Fond Du Lac,North Fond du Lac PD,Human Trafficking - Involuntary Servitude,North Fond du Lac PD,Fond Du Lac,Human Trafficking - Involuntary Servitude,12,2019,0
Fond Du Lac,Fond du Lac PD,Human Trafficking - Involuntary Servitude,Fond du Lac PD,Fond Du Lac,Human Trafficking - Involuntary Servitude,12,2019,0
Fond Du Lac,Fond du Lac Co SO,Human Trafficking - Involuntary Servitude,Fond du Lac Co SO,Fond Du Lac,Human Trafficking - Involuntary Servitude,12,2019,0
Fond Du Lac,Campbellsport PD,Human Trafficking - Involuntary Servitude,Campbellsport PD,Fond Du Lac,Human Trafficking - Involuntary Servitude,12,2019,0
Fond Du Lac,Brandon-Fairwater PD,Human Trafficking - Involuntary Servitude,Brandon-Fairwater PD,Fond Du Lac,Human Trafficking - Involuntary Servitude,12,2019,0
Fond Du Lac,Rosendale PD,Human Trafficking - Commercial Sex,Rosendale PD,Fond Du Lac,Human Trafficking - Commercial Sex,12,2019,0
Fond Du Lac,Ripon Township PD,Human Trafficking - Commercial Sex,Ripon Township PD,Fond Du Lac,Human Trafficking - Commercial Sex,12,2019,0
Fond Du Lac,Ripon PD,Human Trafficking - Commercial Sex,Ripon PD,Fond Du Lac,Human Trafficking - Commercial Sex,12,2019,0
Fond Du Lac,North Fond du Lac PD,Human Trafficking - Commercial Sex,North Fond du Lac PD,Fond Du Lac,Human Trafficking - Commercial Sex,12,2019,0
