County,Agency Name,Offense Description,Agency Name,County,Offense Description,Min. months_submitted,Min. year of year,Offense Count
Barron,Cumberland PD,Human Trafficking - Commercial Sex,Cumberland PD,Barron,Human Trafficking - Commercial Sex,12,2019,0
Barron,Chetek PD,Human Trafficking - Commercial Sex,Chetek PD,Barron,Human Trafficking - Commercial Sex,12,2019,0
Barron,Barron PD,Human Trafficking - Commercial Sex,Barron PD,Barron,Human Trafficking - Commercial Sex,12,2019,0
Barron,Barron Co SO,Human Trafficking - Commercial Sex,Barron Co SO,Barron,Human Trafficking - Commercial Sex,12,2019,0
Barron,Rice Lake PD,Simple Assault,Rice Lake PD,Barron,Simple Assault,12,2019,40
Barron,Cumberland PD,Simple Assault,Cumberland PD,Barron,Simple Assault,12,2019,0
Barron,Chetek PD,Simple Assault,Chetek PD,Barron,Simple Assault,12,2019,6
Barron,Barron PD,Simple Assault,Barron PD,Barron,Simple Assault,12,2019,17
Barron,Barron Co SO,Simple Assault,Barron Co SO,Barron,Simple Assault,12,2019,31
Barron,Rice Lake PD,Arson,Rice Lake PD,Barron,Arson,12,2019,0
Barron,Cumberland PD,Arson,Cumberland PD,Barron,Arson,12,2019,0
Barron,Chetek PD,Arson,Chetek PD,Barron,Arson,12,2019,0
Barron,Barron PD,Arson,Barron PD,Barron,Arson,12,2019,0
Barron,Barron Co SO,Arson,Barron Co SO,Barron,Arson,12,2019,2
Barron,Rice Lake PD,Motor Vehicle Theft,Rice Lake PD,Barron,Motor Vehicle Theft,12,2019,3
Barron,Cumberland PD,Motor Vehicle Theft,Cumberland PD,Barron,Motor Vehicle Theft,12,2019,0
Barron,Chetek PD,Motor Vehicle Theft,Chetek PD,Barron,Motor Vehicle Theft,12,2019,2
Barron,Barron PD,Motor Vehicle Theft,Barron PD,Barron,Motor Vehicle Theft,12,2019,2
Barron,Barron Co SO,Motor Vehicle Theft,Barron Co SO,Barron,Motor Vehicle Theft,12,2019,9
Barron,Rice Lake PD,Larceny Theft,Rice Lake PD,Barron,Larceny Theft,12,2019,269
Barron,Cumberland PD,Larceny Theft,Cumberland PD,Barron,Larceny Theft,12,2019,0
Barron,Chetek PD,Larceny Theft,Chetek PD,Barron,Larceny Theft,12,2019,10
Barron,Barron PD,Larceny Theft,Barron PD,Barron,Larceny Theft,12,2019,20
Barron,Barron Co SO,Larceny Theft,Barron Co SO,Barron,Larceny Theft,12,2019,85
Barron,Rice Lake PD,Burglary,Rice Lake PD,Barron,Burglary,12,2019,12
Barron,Cumberland PD,Burglary,Cumberland PD,Barron,Burglary,12,2019,0
Barron,Chetek PD,Burglary,Chetek PD,Barron,Burglary,12,2019,0
Barron,Barron PD,Burglary,Barron PD,Barron,Burglary,12,2019,3
Barron,Barron Co SO,Burglary,Barron Co SO,Barron,Burglary,12,2019,35
Barron,Rice Lake PD,Aggravated Assault,Rice Lake PD,Barron,Aggravated Assault,12,2019,9
Barron,Cumberland PD,Aggravated Assault,Cumberland PD,Barron,Aggravated Assault,12,2019,0
Barron,Chetek PD,Aggravated Assault,Chetek PD,Barron,Aggravated Assault,12,2019,6
Barron,Barron PD,Aggravated Assault,Barron PD,Barron,Aggravated Assault,12,2019,8
Barron,Barron Co SO,Aggravated Assault,Barron Co SO,Barron,Aggravated Assault,12,2019,6
Barron,Rice Lake PD,Robbery,Rice Lake PD,Barron,Robbery,12,2019,0
Barron,Cumberland PD,Robbery,Cumberland PD,Barron,Robbery,12,2019,0
Barron,Chetek PD,Robbery,Chetek PD,Barron,Robbery,12,2019,0
Barron,Barron PD,Robbery,Barron PD,Barron,Robbery,12,2019,0
Barron,Barron Co SO,Robbery,Barron Co SO,Barron,Robbery,12,2019,0
Barron,Rice Lake PD,Rape - revised 2017,Rice Lake PD,Barron,Rape - revised 2017,12,2019,12
Barron,Cumberland PD,Rape - revised 2017,Cumberland PD,Barron,Rape - revised 2017,12,2019,0
Barron,Chetek PD,Rape - revised 2017,Chetek PD,Barron,Rape - revised 2017,12,2019,0
Barron,Barron PD,Rape - revised 2017,Barron PD,Barron,Rape - revised 2017,12,2019,2
Barron,Barron Co SO,Rape - revised 2017,Barron Co SO,Barron,Rape - revised 2017,12,2019,13
Barron,Rice Lake PD,Homicide,Rice Lake PD,Barron,Homicide,12,2019,0
Barron,Cumberland PD,Homicide,Cumberland PD,Barron,Homicide,12,2019,0
Barron,Chetek PD,Homicide,Chetek PD,Barron,Homicide,12,2019,0
Barron,Barron PD,Homicide,Barron PD,Barron,Homicide,12,2019,0
Barron,Barron Co SO,Homicide,Barron Co SO,Barron,Homicide,12,2019,1
Bayfield,Washburn PD,Human Trafficking - Involuntary Servitude,Washburn PD,Bayfield,Human Trafficking - Involuntary Servitude,12,2019,0
Bayfield,Iron River PD,Human Trafficking - Involuntary Servitude,Iron River PD,Bayfield,Human Trafficking - Involuntary Servitude,12,2019,0
Bayfield,Bayfield PD,Human Trafficking - Involuntary Servitude,Bayfield PD,Bayfield,Human Trafficking - Involuntary Servitude,12,2019,0
Bayfield,Bayfield Co SO,Human Trafficking - Involuntary Servitude,Bayfield Co SO,Bayfield,Human Trafficking - Involuntary Servitude,12,2019,0
Bayfield,Washburn PD,Human Trafficking - Commercial Sex,Washburn PD,Bayfield,Human Trafficking - Commercial Sex,12,2019,0
Bayfield,Iron River PD,Human Trafficking - Commercial Sex,Iron River PD,Bayfield,Human Trafficking - Commercial Sex,12,2019,0
Bayfield,Bayfield PD,Human Trafficking - Commercial Sex,Bayfield PD,Bayfield,Human Trafficking - Commercial Sex,12,2019,0
Bayfield,Bayfield Co SO,Human Trafficking - Commercial Sex,Bayfield Co SO,Bayfield,Human Trafficking - Commercial Sex,12,2019,0
Bayfield,Washburn PD,Simple Assault,Washburn PD,Bayfield,Simple Assault,12,2019,0
Bayfield,Iron River PD,Simple Assault,Iron River PD,Bayfield,Simple Assault,12,2019,4
Bayfield,Bayfield PD,Simple Assault,Bayfield PD,Bayfield,Simple Assault,12,2019,4
Bayfield,Bayfield Co SO,Simple Assault,Bayfield Co SO,Bayfield,Simple Assault,12,2019,11
Bayfield,Washburn PD,Arson,Washburn PD,Bayfield,Arson,12,2019,0
Bayfield,Iron River PD,Arson,Iron River PD,Bayfield,Arson,12,2019,0
Bayfield,Bayfield PD,Arson,Bayfield PD,Bayfield,Arson,12,2019,0
Bayfield,Bayfield Co SO,Arson,Bayfield Co SO,Bayfield,Arson,12,2019,0
Bayfield,Washburn PD,Motor Vehicle Theft,Washburn PD,Bayfield,Motor Vehicle Theft,12,2019,0
