County,Agency_Name,Offense_Description,Min_months_submitted,Year,Offense_Count
Adams,Rome Town PD,Human Trafficking - Involuntary Servitude,12,2019,0
Adams,Adams PD,Human Trafficking - Involuntary Servitude,12,2019,0
Adams,Adams Co SO,Human Trafficking - Involuntary Servitude,12,2019,0
Adams,Rome Town PD,Human Trafficking - Commercial Sex,12,2019,0
Adams,Adams PD,Human Trafficking - Commercial Sex,12,2019,0
Adams,Adams Co SO,Human Trafficking - Commercial Sex,12,2019,0
Adams,Rome Town PD,Simple Assault,12,2019,8
Adams,Adams PD,Simple Assault,12,2019,7
Adams,Adams Co SO,Simple Assault,12,2019,131
Adams,Rome Town PD,Arson,12,2019,0
Adams,Adams PD,Arson,12,2019,1
Adams,Adams Co SO,Arson,12,2019,2
Adams,Rome Town PD,Motor Vehicle Theft,12,2019,1
Adams,Adams PD,Motor Vehicle Theft,12,2019,3
Adams,Adams Co SO,Motor Vehicle Theft,12,2019,12
Adams,Rome Town PD,Larceny Theft,12,2019,17
Adams,Adams PD,Larceny Theft,12,2019,60
Adams,Adams Co SO,Larceny Theft,12,2019,134
Adams,Rome Town PD,Burglary,12,2019,6
Adams,Adams PD,Burglary,12,2019,4
Adams,Adams Co SO,Burglary,12,2019,109
Adams,Rome Town PD,Aggravated Assault,12,2019,0
Adams,Adams PD,Aggravated Assault,12,2019,2
Adams,Adams Co SO,Aggravated Assault,12,2019,21
Adams,Rome Town PD,Robbery,12,2019,0
Adams,Adams PD,Robbery,12,2019,1
Adams,Adams Co SO,Robbery,12,2019,0
Adams,Rome Town PD,Rape - revised 2017,12,2019,4
Adams,Adams PD,Rape - revised 2017,12,2019,6
Adams,Adams Co SO,Rape - revised 2017,12,2019,0
Adams,Rome Town PD,Homicide,12,2019,0
Adams,Adams PD,Homicide,12,2019,0
Adams,Adams Co SO,Homicide,12,2019,0
Ashland,Ashland PD,Human Trafficking - Involuntary Servitude,12,2019,0
Ashland,Ashland Co SO,Human Trafficking - Involuntary Servitude,12,2019,0
Ashland,Ashland PD,Human Trafficking - Commercial Sex,12,2019,0
Ashland,Ashland Co SO,Human Trafficking - Commercial Sex,12,2019,0
Ashland,Ashland PD,Simple Assault,12,2019,38
Ashland,Ashland Co SO,Simple Assault,12,2019,10
Ashland,Ashland PD,Arson,12,2019,1
Ashland,Ashland Co SO,Arson,12,2019,0
Ashland,Ashland PD,Motor Vehicle Theft,12,2019,22
Ashland,Ashland Co SO,Motor Vehicle Theft,12,2019,1
Ashland,Ashland PD,Larceny Theft,12,2019,240
Ashland,Ashland Co SO,Larceny Theft,12,2019,29
Ashland,Ashland PD,Burglary,12,2019,29
Ashland,Ashland Co SO,Burglary,12,2019,11
Ashland,Ashland PD,Aggravated Assault,12,2019,21
Ashland,Ashland Co SO,Aggravated Assault,12,2019,19
Ashland,Ashland PD,Robbery,12,2019,0
Ashland,Ashland Co SO,Robbery,12,2019,0
Ashland,Ashland PD,Rape - revised 2017,12,2019,4
Ashland,Ashland Co SO,Rape - revised 2017,12,2019,3
Ashland,Ashland PD,Homicide,12,2019,0
Ashland,Ashland Co SO,Homicide,12,2019,0
Barron,Rice Lake PD,Human Trafficking - Involuntary Servitude,12,2019,0
Barron,Cumberland PD,Human Trafficking - Involuntary Servitude,12,2019,0
Barron,Chetek PD,Human Trafficking - Involuntary Servitude,12,2019,0
Barron,Barron PD,Human Trafficking - Involuntary Servitude,12,2019,0
Barron,Barron Co SO,Human Trafficking - Involuntary Servitude,12,2019,0
Barron,Rice Lake PD,Human Trafficking - Commercial Sex,12,2019,0
Barron,Cumberland PD,Human Trafficking - Commercial Sex,12,2019,0
Barron,Chetek PD,Human Trafficking - Commercial Sex,12,2019,0
Barron,Barron PD,Human Trafficking - Commercial Sex,12,2019,0
Barron,Barron Co SO,Human Trafficking - Commercial Sex,12,2019,0
Barron,Rice Lake PD,Simple Assault,12,2019,40
Barron,Cumberland PD,Simple Assault,12,2019,0
Barron,Chetek PD,Simple Assault,12,2019,6
Barron,Barron PD,Simple Assault,12,2019,17
Barron,Barron Co SO,Simple Assault,12,2019,31
Barron,Rice Lake PD,Arson,12,2019,0
Barron,Cumberland PD,Arson,12,2019,0
Barron,Chetek PD,Arson,12,2019,0
Barron,Barron PD,Arson,12,2019,0
Barron,Barron Co SO,Arson,12,2019,2
Barron,Rice Lake PD,Motor Vehicle Theft,12,2019,3
Barron,Cumberland PD,Motor Vehicle Theft,12,2019,0
Barron,Chetek PD,Motor Vehicle Theft,12,2019,2
Barron,Barron PD,Motor Vehicle Theft,12,2019,2
Barron,Barron Co SO,Motor Vehicle Theft,12,2019,9
Barron,Rice Lake PD,Larceny Theft,12,2019,269
Barron,Cumberland PD,Larceny Theft,12,2019,0
Barron,Chetek PD,Larceny Theft,12,2019,10
Barron,Barron PD,Larceny Theft,12,2019,20
Barron,Barron Co SO,Larceny Theft,12,2019,85
Barron,Rice Lake PD,Burglary,12,2019,12
Barron,Cumberland PD,Burglary,12,2019,0
Barron,Chetek PD,Burglary,12,2019,0
Barron,Barron PD,Burglary,12,2019,3
Barron,Barron Co SO,Burglary,12,2019,35
Barron,Rice Lake PD,Aggravated Assault,12,2019,9
Barron,Cumberland PD,Aggravated Assault,12,2019,0
Barron,Chetek PD,Aggravated Assault,12,2019,6
Barron,Barron PD,Aggravated Assault,12,2019,8
Barron,Barron Co SO,Aggravated Assault,12,2019,6
Barron,Rice Lake PD,Robbery,12,2019,0
Barron,Cumberland PD,Robbery,12,2019,0
Barron,Chetek PD,Robbery,12,2019,0
Barron,Barron PD,Robbery,12,2019,0
Barron,Barron Co SO,Robbery,12,2019,0
Barron,Rice Lake PD,Rape - revised 2017,12,2019,12
Barron,Cumberland PD,Rape - revised 2017,12,2019,0
Barron,Chetek PD,Rape - revised 2017,12,2019,0
Barron,Barron PD,Rape - revised 2017,12,2019,2
Barron,Barron Co SO,Rape - revised 2017,12,2019,13
