,State,County_x,Agency Name,Offense Description,Min. year of year_x,Offense Count_x,County_y,Min. year of year_y,Offense Count_y,County,Min. year of year,Offense Count
65,WI,Barron,Rice Lake PD,Burglary,2018,17,Barron,2019,12,Barron,2020,5
66,WI,Barron,Cumberland PD,Burglary,2018,0,Barron,2019,0,Barron,2020,0
67,WI,Barron,Chetek PD,Burglary,2018,2,Barron,2019,0,Barron,2020,1
68,WI,Barron,Barron PD,Burglary,2018,1,Barron,2019,3,Barron,2020,1
69,WI,Barron,Barron Co SO,Burglary,2018,38,Barron,2019,35,Barron,2020,40
70,WI,Barron,Rice Lake PD,Aggravated Assault,2018,12,Barron,2019,9,Barron,2020,32
71,WI,Barron,Cumberland PD,Aggravated Assault,2018,0,Barron,2019,0,Barron,2020,1
72,WI,Barron,Chetek PD,Aggravated Assault,2018,1,Barron,2019,6,Barron,2020,4
73,WI,Barron,Barron PD,Aggravated Assault,2018,0,Barron,2019,8,Barron,2020,5
74,WI,Barron,Barron Co SO,Aggravated Assault,2018,0,Barron,2019,6,Barron,2020,17
75,WI,Barron,Rice Lake PD,Robbery,2018,0,Barron,2019,0,Barron,2020,1
76,WI,Barron,Cumberland PD,Robbery,2018,0,Barron,2019,0,Barron,2020,0
77,WI,Barron,Chetek PD,Robbery,2018,0,Barron,2019,0,Barron,2020,0
78,WI,Barron,Barron PD,Robbery,2018,0,Barron,2019,0,Barron,2020,0
79,WI,Barron,Barron Co SO,Robbery,2018,0,Barron,2019,0,Barron,2020,0
80,WI,Barron,Rice Lake PD,Rape - revised 2017,2018,13,Barron,2019,12,Barron,2020,8
81,WI,Barron,Cumberland PD,Rape - revised 2017,2018,0,Barron,2019,0,Barron,2020,0
82,WI,Barron,Chetek PD,Rape - revised 2017,2018,1,Barron,2019,0,Barron,2020,0
83,WI,Barron,Barron PD,Rape - revised 2017,2018,0,Barron,2019,2,Barron,2020,1
84,WI,Barron,Barron Co SO,Rape - revised 2017,2018,1,Barron,2019,13,Barron,2020,5
85,WI,Barron,Rice Lake PD,Homicide,2018,0,Barron,2019,0,Barron,2020,0
86,WI,Barron,Cumberland PD,Homicide,2018,0,Barron,2019,0,Barron,2020,0
87,WI,Barron,Chetek PD,Homicide,2018,0,Barron,2019,0,Barron,2020,0
88,WI,Barron,Barron PD,Homicide,2018,0,Barron,2019,0,Barron,2020,1
89,WI,Barron,Barron Co SO,Homicide,2018,2,Barron,2019,1,Barron,2020,1
90,WI,Bayfield,Washburn PD,Simple Assault,2018,2,Bayfield,2019,0,Bayfield,2020,1
91,WI,Bayfield,Iron River PD,Simple Assault,2018,1,Bayfield,2019,4,Bayfield,2020,3
92,WI,Bayfield,Bayfield PD,Simple Assault,2018,5,Bayfield,2019,4,Bayfield,2020,1
93,WI,Bayfield,Bayfield Co SO,Simple Assault,2018,15,Bayfield,2019,11,Bayfield,2020,6
94,WI,Bayfield,Washburn PD,Arson,2018,0,Bayfield,2019,0,Bayfield,2020,0
95,WI,Bayfield,Iron River PD,Arson,2018,1,Bayfield,2019,0,Bayfield,2020,0
