County,Agency_Name,Offense_Description,Min_months_submitted,Year,Offense_Count
Bayfield,Iron River PD,Rape - revised 2017,12,2018,0
Bayfield,Bayfield PD,Rape - revised 2017,12,2018,0
Bayfield,Bayfield Co SO,Rape - revised 2017,12,2018,0
Bayfield,Washburn PD,Homicide,12,2018,0
Bayfield,Iron River PD,Homicide,12,2018,0
Bayfield,Bayfield PD,Homicide,12,2018,0
Bayfield,Bayfield Co SO,Homicide,12,2018,0
Brown,UW-Green Bay PD,Simple Assault,12,2018,1
Brown,Pulaski PD,Simple Assault,12,2018,0
Brown,Hobart-Lawrence PD,Simple Assault,12,2018,10
Brown,Green Bay PD,Simple Assault,12,2018,"1,016"
Brown,De Pere PD,Simple Assault,12,2018,45
Brown,Brown Co SO,Simple Assault,12,2018,197
Brown,Ashwaubenon PD,Simple Assault,12,2018,73
Brown,UW-Green Bay PD,Arson,12,2018,0
Brown,Pulaski PD,Arson,12,2018,0
Brown,Hobart-Lawrence PD,Arson,12,2018,1
Brown,Green Bay PD,Arson,12,2018,7
Brown,De Pere PD,Arson,12,2018,0
Brown,Brown Co SO,Arson,12,2018,4
Brown,Ashwaubenon PD,Arson,12,2018,2
Brown,UW-Green Bay PD,Motor Vehicle Theft,12,2018,0
Brown,Pulaski PD,Motor Vehicle Theft,12,2018,1
Brown,Hobart-Lawrence PD,Motor Vehicle Theft,12,2018,2
Brown,Green Bay PD,Motor Vehicle Theft,12,2018,102
Brown,De Pere PD,Motor Vehicle Theft,12,2018,7
Brown,Brown Co SO,Motor Vehicle Theft,12,2018,30
Brown,Ashwaubenon PD,Motor Vehicle Theft,12,2018,15
Brown,UW-Green Bay PD,Larceny Theft,12,2018,8
Brown,Pulaski PD,Larceny Theft,12,2018,19
Brown,Hobart-Lawrence PD,Larceny Theft,12,2018,36
Brown,Green Bay PD,Larceny Theft,12,2018,"1,460"
Brown,De Pere PD,Larceny Theft,12,2018,187
Brown,Brown Co SO,Larceny Theft,12,2018,527
Brown,Ashwaubenon PD,Larceny Theft,12,2018,366
Brown,UW-Green Bay PD,Burglary,12,2018,0
Brown,Pulaski PD,Burglary,12,2018,1
Brown,Hobart-Lawrence PD,Burglary,12,2018,31
Brown,Green Bay PD,Burglary,12,2018,252
Brown,De Pere PD,Burglary,12,2018,17
Brown,Brown Co SO,Burglary,12,2018,66
Brown,Ashwaubenon PD,Burglary,12,2018,34
Brown,UW-Green Bay PD,Aggravated Assault,12,2018,0
Brown,Pulaski PD,Aggravated Assault,12,2018,3
Brown,Hobart-Lawrence PD,Aggravated Assault,12,2018,2
Brown,Green Bay PD,Aggravated Assault,12,2018,350
Brown,De Pere PD,Aggravated Assault,12,2018,28
Brown,Brown Co SO,Aggravated Assault,12,2018,54
Brown,Ashwaubenon PD,Aggravated Assault,12,2018,5
Brown,UW-Green Bay PD,Robbery,12,2018,0
Brown,Pulaski PD,Robbery,12,2018,0
Brown,Hobart-Lawrence PD,Robbery,12,2018,1
Brown,Green Bay PD,Robbery,12,2018,56
Brown,De Pere PD,Robbery,12,2018,0
Brown,Brown Co SO,Robbery,12,2018,4
Brown,Ashwaubenon PD,Robbery,12,2018,2
Brown,UW-Green Bay PD,Rape - revised 2017,12,2018,0
Brown,Pulaski PD,Rape - revised 2017,12,2018,0
Brown,Hobart-Lawrence PD,Rape - revised 2017,12,2018,4
Brown,Green Bay PD,Rape - revised 2017,12,2018,81
Brown,De Pere PD,Rape - revised 2017,12,2018,10
Brown,Brown Co SO,Rape - revised 2017,12,2018,42
Brown,Ashwaubenon PD,Rape - revised 2017,12,2018,6
Brown,UW-Green Bay PD,Homicide,12,2018,0
Brown,Pulaski PD,Homicide,12,2018,0
Brown,Hobart-Lawrence PD,Homicide,12,2018,0
Brown,Green Bay PD,Homicide,12,2018,1
Brown,De Pere PD,Homicide,12,2018,0
Brown,Brown Co SO,Homicide,12,2018,0
Brown,Ashwaubenon PD,Homicide,12,2018,0
Buffalo,Mondovi PD,Simple Assault,12,2018,1
Buffalo,Buffalo Co SO,Simple Assault,12,2018,7
Buffalo,Mondovi PD,Arson,12,2018,0
Buffalo,Buffalo Co SO,Arson,12,2018,0
Buffalo,Mondovi PD,Motor Vehicle Theft,12,2018,1
Buffalo,Buffalo Co SO,Motor Vehicle Theft,12,2018,4
Buffalo,Mondovi PD,Larceny Theft,12,2018,12
Buffalo,Buffalo Co SO,Larceny Theft,12,2018,4
Buffalo,Mondovi PD,Burglary,12,2018,3
Buffalo,Buffalo Co SO,Burglary,12,2018,2
Buffalo,Mondovi PD,Aggravated Assault,12,2018,0
Buffalo,Buffalo Co SO,Aggravated Assault,12,2018,1
Buffalo,Mondovi PD,Robbery,12,2018,0
Buffalo,Buffalo Co SO,Robbery,12,2018,0
Buffalo,Mondovi PD,Rape - revised 2017,12,2018,1
Buffalo,Buffalo Co SO,Rape - revised 2017,12,2018,2
Buffalo,Mondovi PD,Homicide,12,2018,0
Buffalo,Buffalo Co SO,Homicide,12,2018,0
Burnett,Webster PD,Simple Assault,12,2018,0
Burnett,Siren PD,Simple Assault,12,2018,8
Burnett,Grantsburg PD,Simple Assault,12,2018,0
Burnett,Burnett Co SO,Simple Assault,12,2018,61
Burnett,Webster PD,Arson,12,2018,0
Burnett,Siren PD,Arson,12,2018,1
Burnett,Grantsburg PD,Arson,12,2018,0
Burnett,Burnett Co SO,Arson,12,2018,2
Burnett,Webster PD,Motor Vehicle Theft,12,2018,0
Burnett,Siren PD,Motor Vehicle Theft,12,2018,2
Burnett,Grantsburg PD,Motor Vehicle Theft,12,2018,0
Burnett,Burnett Co SO,Motor Vehicle Theft,12,2018,27
Burnett,Webster PD,Larceny Theft,12,2018,8
Burnett,Siren PD,Larceny Theft,12,2018,34
Burnett,Grantsburg PD,Larceny Theft,12,2018,36
Burnett,Burnett Co SO,Larceny Theft,12,2018,195
Burnett,Webster PD,Burglary,12,2018,1
Burnett,Siren PD,Burglary,12,2018,10
Burnett,Grantsburg PD,Burglary,12,2018,1
Burnett,Burnett Co SO,Burglary,12,2018,129
Burnett,Webster PD,Aggravated Assault,12,2018,0
Burnett,Siren PD,Aggravated Assault,12,2018,2
Burnett,Grantsburg PD,Aggravated Assault,12,2018,0
Burnett,Burnett Co SO,Aggravated Assault,12,2018,24
Burnett,Webster PD,Robbery,12,2018,0
Burnett,Siren PD,Robbery,12,2018,0
Burnett,Grantsburg PD,Robbery,12,2018,0
Burnett,Burnett Co SO,Robbery,12,2018,1
Burnett,Webster PD,Rape - revised 2017,12,2018,1
Burnett,Siren PD,Rape - revised 2017,12,2018,0
Burnett,Grantsburg PD,Rape - revised 2017,12,2018,0
Burnett,Burnett Co SO,Rape - revised 2017,12,2018,5
Burnett,Webster PD,Homicide,12,2018,0
Burnett,Siren PD,Homicide,12,2018,0
Burnett,Grantsburg PD,Homicide,12,2018,0
Burnett,Burnett Co SO,Homicide,12,2018,0
Calumet,New Holstein PD,Simple Assault,12,2018,10
Calumet,Chilton PD,Simple Assault,12,2018,9
Calumet,Calumet Co SO,Simple Assault,12,2018,56
Calumet,Brillion PD,Simple Assault,12,2018,4
Calumet,New Holstein PD,Arson,12,2018,0
Calumet,Chilton PD,Arson,12,2018,0
Calumet,Calumet Co SO,Arson,12,2018,1
Calumet,Brillion PD,Arson,12,2018,0
Calumet,New Holstein PD,Motor Vehicle Theft,12,2018,1
Calumet,Chilton PD,Motor Vehicle Theft,12,2018,2
Calumet,Calumet Co SO,Motor Vehicle Theft,12,2018,7
Calumet,Brillion PD,Motor Vehicle Theft,12,2018,0
Calumet,New Holstein PD,Larceny Theft,12,2018,14
Calumet,Chilton PD,Larceny Theft,12,2018,12
Calumet,Calumet Co SO,Larceny Theft,12,2018,38
Calumet,Brillion PD,Larceny Theft,12,2018,11
Calumet,New Holstein PD,Burglary,12,2018,1
Calumet,Chilton PD,Burglary,12,2018,0
Calumet,Calumet Co SO,Burglary,12,2018,8
Calumet,Brillion PD,Burglary,12,2018,0
Calumet,New Holstein PD,Aggravated Assault,12,2018,2
Calumet,Chilton PD,Aggravated Assault,12,2018,3
Calumet,Calumet Co SO,Aggravated Assault,12,2018,3
Calumet,Brillion PD,Aggravated Assault,12,2018,3
Calumet,New Holstein PD,Robbery,12,2018,0
Calumet,Chilton PD,Robbery,12,2018,0
Calumet,Calumet Co SO,Robbery,12,2018,0
Calumet,Brillion PD,Robbery,12,2018,1
Calumet,New Holstein PD,Rape - revised 2017,12,2018,0
Calumet,Chilton PD,Rape - revised 2017,12,2018,1
Calumet,Calumet Co SO,Rape - revised 2017,12,2018,5
Calumet,Brillion PD,Rape - revised 2017,12,2018,0
Calumet,New Holstein PD,Homicide,12,2018,0
Calumet,Chilton PD,Homicide,12,2018,0
Calumet,Calumet Co SO,Homicide,12,2018,2
Calumet,Brillion PD,Homicide,12,2018,0
Chippewa,Stanley PD,Simple Assault,8,2018,14
Chippewa,Lake Hallie PD,Simple Assault,12,2018,17
Chippewa,Cornell PD,Simple Assault,12,2018,13
Chippewa,Chippewa Falls PD,Simple Assault,12,2018,121
Chippewa,Chippewa Co SO,Simple Assault,12,2018,158
Chippewa,Bloomer PD,Simple Assault,12,2018,9
Chippewa,Stanley PD,Arson,8,2018,1
Chippewa,Lake Hallie PD,Arson,12,2018,0
Chippewa,Cornell PD,Arson,12,2018,1
Chippewa,Chippewa Falls PD,Arson,12,2018,1
Chippewa,Chippewa Co SO,Arson,12,2018,1
Chippewa,Bloomer PD,Arson,12,2018,0
Chippewa,Stanley PD,Motor Vehicle Theft,8,2018,3
Chippewa,Lake Hallie PD,Motor Vehicle Theft,12,2018,9
Chippewa,Cornell PD,Motor Vehicle Theft,12,2018,2
Chippewa,Chippewa Falls PD,Motor Vehicle Theft,12,2018,11
Chippewa,Chippewa Co SO,Motor Vehicle Theft,12,2018,21
Chippewa,Bloomer PD,Motor Vehicle Theft,12,2018,3
Chippewa,Stanley PD,Larceny Theft,8,2018,6
Chippewa,Lake Hallie PD,Larceny Theft,12,2018,245
Chippewa,Cornell PD,Larceny Theft,12,2018,30
Chippewa,Chippewa Falls PD,Larceny Theft,12,2018,146
Chippewa,Chippewa Co SO,Larceny Theft,12,2018,197
Chippewa,Bloomer PD,Larceny Theft,12,2018,21
Chippewa,Stanley PD,Burglary,8,2018,2
Chippewa,Lake Hallie PD,Burglary,12,2018,6
Chippewa,Cornell PD,Burglary,12,2018,3
Chippewa,Chippewa Falls PD,Burglary,12,2018,22
Chippewa,Chippewa Co SO,Burglary,12,2018,48
Chippewa,Bloomer PD,Burglary,12,2018,3
Chippewa,Stanley PD,Aggravated Assault,8,2018,2
Chippewa,Lake Hallie PD,Aggravated Assault,12,2018,0
Chippewa,Cornell PD,Aggravated Assault,12,2018,0
Chippewa,Chippewa Falls PD,Aggravated Assault,12,2018,14
Chippewa,Chippewa Co SO,Aggravated Assault,12,2018,15
Chippewa,Bloomer PD,Aggravated Assault,12,2018,2
Chippewa,Stanley PD,Robbery,8,2018,0
Chippewa,Lake Hallie PD,Robbery,12,2018,0
Chippewa,Cornell PD,Robbery,12,2018,0
Chippewa,Chippewa Falls PD,Robbery,12,2018,1
Chippewa,Chippewa Co SO,Robbery,12,2018,0
Chippewa,Bloomer PD,Robbery,12,2018,0
Chippewa,Stanley PD,Rape - revised 2017,8,2018,1
Chippewa,Lake Hallie PD,Rape - revised 2017,12,2018,0
Chippewa,Cornell PD,Rape - revised 2017,12,2018,0
Chippewa,Chippewa Falls PD,Rape - revised 2017,12,2018,11
Chippewa,Chippewa Co SO,Rape - revised 2017,12,2018,14
Chippewa,Bloomer PD,Rape - revised 2017,12,2018,0
Chippewa,Stanley PD,Homicide,8,2018,0
Chippewa,Lake Hallie PD,Homicide,12,2018,0
Chippewa,Cornell PD,Homicide,12,2018,0
Chippewa,Chippewa Falls PD,Homicide,12,2018,0
Chippewa,Chippewa Co SO,Homicide,12,2018,1
Chippewa,Bloomer PD,Homicide,12,2018,0
Clark,Thorp PD,Simple Assault,11,2018,1
Clark,Neillsville PD,Simple Assault,12,2018,1
Clark,Colby-Abbotsford PD,Simple Assault,12,2018,15
Clark,Clark Co SO,Simple Assault,12,2018,50
Clark,Thorp PD,Arson,11,2018,0
Clark,Neillsville PD,Arson,12,2018,0
Clark,Colby-Abbotsford PD,Arson,12,2018,0
Clark,Clark Co SO,Arson,12,2018,1
Clark,Thorp PD,Motor Vehicle Theft,11,2018,0
Clark,Neillsville PD,Motor Vehicle Theft,12,2018,6
Clark,Colby-Abbotsford PD,Motor Vehicle Theft,12,2018,1
Clark,Clark Co SO,Motor Vehicle Theft,12,2018,16
Clark,Thorp PD,Larceny Theft,11,2018,0
Clark,Neillsville PD,Larceny Theft,12,2018,26
Clark,Colby-Abbotsford PD,Larceny Theft,12,2018,15
Clark,Clark Co SO,Larceny Theft,12,2018,61
Clark,Thorp PD,Burglary,11,2018,0
Clark,Neillsville PD,Burglary,12,2018,3
Clark,Colby-Abbotsford PD,Burglary,12,2018,2
