Stabr,County,Rural_urban_Continuum_Code_2003,Urban_Influence_Code_2003,Rural_urban_Continuum_Code_2013,Urban_Influence_Code_2013,POVALL_2019,CI90LBALL_2019,CI90UBALL_2019,PCTPOVALL_2019,CI90LBALLP_2019,CI90UBALLP_2019,POV017_2019,CI90LB017_2019,CI90UB017_2019,PCTPOV017_2019,CI90LB017P_2019,CI90UB017P_2019,POV517_2019,CI90LB517_2019,CI90UB517_2019,PCTPOV517_2019,CI90LB517P_2019,CI90UB517P_2019,MEDHHINC_2019,CI90LBINC_2019,CI90UBINC_2019
WI,Manitowoc,4,5,4,5,6899,5777,8021,8.8,7.4,10.2,1906,1458,2354,12.1,9.3,14.9,1342,984,1700,11.4,8.4,14.4,61326,57681,64971
WI,Marathon,3,2,3,2,11026,9124,12928,8.2,6.8,9.6,3369,2510,4228,11.2,8.3,14.1,2124,1462,2786,9.5,6.5,12.5,66092,63284,68900
WI,Marinette,6,5,6,5,4548,3722,5374,11.5,9.4,13.6,1255,936,1574,17,12.7,21.3,822,570,1074,14.8,10.3,19.3,54404,49586,59222
WI,Marquette,8,7,8,7,1535,1234,1836,10,8,12,413,277,549,14.3,9.6,19,289,186,392,13.4,8.6,18.2,56790,52431,61149
WI,Menominee,8,7,8,5,1139,888,1390,25.3,19.7,30.9,656,484,828,44,32.5,55.5,477,346,608,44.7,32.4,57,40300,35726,44874
WI,Milwaukee,1,1,1,1,156647,147199,166095,16.9,15.9,17.9,53033,47724,58342,24,21.6,26.4,37841,33876,41806,23.9,21.4,26.4,53505,51714,55296
WI,Monroe,6,6,6,6,4936,3891,5981,10.9,8.6,13.2,1867,1322,2412,16.4,11.6,21.2,1391,987,1795,16.7,11.9,21.5,60296,56999,63593
WI,Oconto,2,2,2,2,3506,2897,4115,9.3,7.7,10.9,944,712,1176,12.7,9.6,15.8,689,515,863,12.5,9.3,15.7,66401,63877,68925
WI,Oneida,7,9,7,9,3117,2487,3747,8.9,7.1,10.7,744,494,994,12.6,8.4,16.8,498,310,686,11.5,7.2,15.8,62765,59091,66439
WI,Outagamie,3,2,3,2,13110,11133,15087,7.1,6,8.2,3982,3204,4760,9.3,7.5,11.1,2573,1968,3178,8.1,6.2,10,66994,64282,69706
WI,Ozaukee,1,1,1,1,3926,3094,4758,4.5,3.5,5.5,819,588,1050,4.4,3.2,5.6,536,363,709,3.8,2.6,5,90446,84694,96198
WI,Pepin,8,7,8,4,643,478,808,9,6.7,11.3,210,142,278,14.1,9.5,18.7,145,93,197,13.4,8.6,18.2,62675,56760,68590
WI,Pierce,1,1,1,1,3900,3402,4398,9.8,8.6,11,609,420,798,7,4.8,9.2,414,275,553,6.3,4.2,8.4,75368,70085,80651
WI,Polk,6,4,6,4,3723,2988,4458,8.6,6.9,10.3,1047,745,1349,11.9,8.5,15.3,755,527,983,11.4,8,14.8,63910,60562,67258
WI,Portage,4,5,4,5,7995,6911,9079,11.8,10.2,13.4,1384,1011,1757,10.5,7.7,13.3,897,616,1178,9.2,6.3,12.1,58248,54407,62089
WI,Price,9,11,9,12,1959,1680,2238,14.9,12.8,17,513,395,631,21.8,16.8,26.8,348,257,439,19.6,14.4,24.8,48761,45984,51538
WI,Racine,3,2,3,2,23688,20473,26903,12.4,10.7,14.1,7371,5731,9011,16.8,13.1,20.5,5169,3985,6353,16,12.3,19.7,61691,58512,64870
WI,Richland,6,6,6,6,2115,1677,2553,12.5,9.9,15.1,672,479,865,18.5,13.2,23.8,450,300,600,16.4,10.9,21.9,51295,47731,54859
WI,Rock,3,2,3,2,19755,17313,22197,12.3,10.8,13.8,6462,5318,7606,17.7,14.6,20.8,4312,3472,5152,16.1,13,19.2,61624,58586,64662
WI,Rusk,6,6,6,6,1714,1324,2104,12.3,9.5,15.1,603,414,792,21.4,14.7,28.1,404,261,547,19.5,12.6,26.4,49860,46034,53686
WI,St.Croix,1,1,1,1,5285,4417,6153,5.9,4.9,6.9,1433,1123,1743,6.6,5.2,8,1007,777,1237,6.1,4.7,7.5,87098,81580,92616
WI,Sauk,4,5,4,5,6471,5499,7443,10.2,8.7,11.7,2138,1724,2552,15,12.1,17.9,1494,1178,1810,14.2,11.2,17.2,63752,59885,67619
WI,Sawyer,9,12,7,12,2063,1646,2480,12.7,10.1,15.3,645,455,835,20.8,14.7,26.9,474,323,625,20.4,13.9,26.9,53908,48790,59026
WI,Shawano,6,6,6,5,3851,3091,4611,9.6,7.7,11.5,1238,879,1597,14.6,10.4,18.8,729,455,1003,11.6,7.3,15.9,58982,55105,62859
WI,Sheboygan,3,2,3,2,9051,7374,10728,8.1,6.6,9.6,2816,2137,3495,11.4,8.7,14.1,1877,1375,2379,10.2,7.5,12.9,62108,58536,65680
WI,Taylor,6,6,6,6,1942,1539,2345,9.7,7.7,11.7,580,364,796,12.5,7.9,17.1,415,247,583,11.9,7.1,16.7,52419,49557,55281
WI,Trempealeau,8,7,6,6,2598,2089,3107,8.9,7.1,10.7,818,600,1036,11.3,8.3,14.3,544,381,707,10.5,7.3,13.7,61687,57404,65970
