Stabr,Area_name,Rural-urban_Continuum_Code_2003,Urban_Influence_Code_2003,Rural-urban_Continuum_Code_2013,Urban_Influence_Code_2013,POVALL_2019,CI90LBALL_2019,CI90UBALL_2019,PCTPOVALL_2019,CI90LBALLP_2019,CI90UBALLP_2019,POV017_2019,CI90LB017_2019,CI90UB017_2019,PCTPOV017_2019,CI90LB017P_2019,CI90UB017P_2019,POV517_2019,CI90LB517_2019,CI90UB517_2019,PCTPOV517_2019,CI90LB517P_2019,CI90UB517P_2019,MEDHHINC_2019,CI90LBINC_2019,CI90UBINC_2019
WI,Kewaunee County,2,2,2,2,"1,496","1,171","1,821",7.4,5.8,9.0,370,258,482,8.6,6.0,11.2,254,168,340,7.8,5.2,10.4,"65,879","61,229","70,529"
WI,La Crosse County,3,2,3,2,"13,280","11,659","14,901",11.8,10.4,13.2,"2,175","1,525","2,825",9.6,6.7,12.5,"1,439",939,"1,939",8.6,5.6,11.6,"59,758","56,048","63,468"
WI,Lafayette County,8,7,8,7,"1,868","1,544","2,192",11.3,9.3,13.3,620,438,802,15.9,11.2,20.6,443,301,585,15.5,10.6,20.4,"59,128","54,499","63,757"
WI,Langlade County,6,6,6,6,"2,441","1,938","2,944",13.0,10.3,15.7,718,497,939,19.9,13.8,26.0,477,312,642,17.7,11.6,23.8,"49,597","44,248","54,946"
WI,Lincoln County,6,5,6,5,"2,455","1,921","2,989",9.1,7.1,11.1,580,402,758,12.2,8.5,15.9,400,263,537,11.4,7.5,15.3,"60,728","55,939","65,517"
WI,Manitowoc County,4,5,4,5,"6,899","5,777","8,021",8.8,7.4,10.2,"1,906","1,458","2,354",12.1,9.3,14.9,"1,342",984,"1,700",11.4,8.4,14.4,"61,326","57,681","64,971"
WI,Marathon County,3,2,3,2,"11,026","9,124","12,928",8.2,6.8,9.6,"3,369","2,510","4,228",11.2,8.3,14.1,"2,124","1,462","2,786",9.5,6.5,12.5,"66,092","63,284","68,900"
WI,Marinette County,6,5,6,5,"4,548","3,722","5,374",11.5,9.4,13.6,"1,255",936,"1,574",17.0,12.7,21.3,822,570,"1,074",14.8,10.3,19.3,"54,404","49,586","59,222"
WI,Marquette County,8,7,8,7,"1,535","1,234","1,836",10.0,8.0,12.0,413,277,549,14.3,9.6,19.0,289,186,392,13.4,8.6,18.2,"56,790","52,431","61,149"
WI,Menominee County,8,7,8,5,"1,139",888,"1,390",25.3,19.7,30.9,656,484,828,44.0,32.5,55.5,477,346,608,44.7,32.4,57.0,"40,300","35,726","44,874"
WI,Milwaukee County,1,1,1,1,"156,647","147,199","166,095",16.9,15.9,17.9,"53,033","47,724","58,342",24.0,21.6,26.4,"37,841","33,876","41,806",23.9,21.4,26.4,"53,505","51,714","55,296"
WI,Monroe County,6,6,6,6,"4,936","3,891","5,981",10.9,8.6,13.2,"1,867","1,322","2,412",16.4,11.6,21.2,"1,391",987,"1,795",16.7,11.9,21.5,"60,296","56,999","63,593"
WI,Oconto County,2,2,2,2,"3,506","2,897","4,115",9.3,7.7,10.9,944,712,"1,176",12.7,9.6,15.8,689,515,863,12.5,9.3,15.7,"66,401","63,877","68,925"
WI,Oneida County,7,9,7,9,"3,117","2,487","3,747",8.9,7.1,10.7,744,494,994,12.6,8.4,16.8,498,310,686,11.5,7.2,15.8,"62,765","59,091","66,439"
WI,Outagamie County,3,2,3,2,"13,110","11,133","15,087",7.1,6.0,8.2,"3,982","3,204","4,760",9.3,7.5,11.1,"2,573","1,968","3,178",8.1,6.2,10.0,"66,994","64,282","69,706"
