State,County,Rural_urban_continuum_code_2013,Urban_influence_code_2013,Metro_2013,Civilian_labor_force_2000,Employed_2000,Unemployed_2000,Unemployment_rate_2000,Civilian_labor_force_2001,Employed_2001,Unemployed_2001,Unemployment_rate_2001,Civilian_labor_force_2002,Employed_2002,Unemployed_2002,Unemployment_rate_2002,Civilian_labor_force_2003,Employed_2003,Unemployed_2003,Unemployment_rate_2003,Civilian_labor_force_2004,Employed_2004,Unemployed_2004,Unemployment_rate_2004,Civilian_labor_force_2005,Employed_2005,Unemployed_2005,Unemployment_rate_2005,Civilian_labor_force_2006,Employed_2006,Unemployed_2006,Unemployment_rate_2006,Civilian_labor_force_2007,Employed_2007,Unemployed_2007,Unemployment_rate_2007,Civilian_labor_force_2008,Employed_2008,Unemployed_2008,Unemployment_rate_2008,Civilian_labor_force_2009,Employed_2009,Unemployed_2009,Unemployment_rate_2009,Civilian_labor_force_2010,Employed_2010,Unemployed_2010,Unemployment_rate_2010,Civilian_labor_force_2011,Employed_2011,Unemployed_2011,Unemployment_rate_2011,Civilian_labor_force_2012,Employed_2012,Unemployed_2012,Unemployment_rate_2012,Civilian_labor_force_2013,Employed_2013,Unemployed_2013,Unemployment_rate_2013,Civilian_labor_force_2014,Employed_2014,Unemployed_2014,Unemployment_rate_2014,Civilian_labor_force_2015,Employed_2015,Unemployed_2015,Unemployment_rate_2015,Civilian_labor_force_2016,Employed_2016,Unemployed_2016,Unemployment_rate_2016,Civilian_labor_force_2017,Employed_2017,Unemployed_2017,Unemployment_rate_2017,Civilian_labor_force_2018,Employed_2018,Unemployed_2018,Unemployment_rate_2018,Civilian_labor_force_2019,Employed_2019,Unemployed_2019,Unemployment_rate_2019,Civilian_labor_force_2020,Employed_2020,Unemployed_2020,Unemployment_rate_2020,Median_Household_Income_2019,Med_HH_Income_Percent_of_State_Total_2019
WI,Clark,6,6,0,17534,16789,745,4.2,18004,16967,1037,5.8,17852,16794,1058,5.9,18411,17291,1120,6.1,17723,16733,990,5.6,17671,16694,977,5.5,17846,16895,951,5.3,17795,16794,1001,5.6,17591,16604,987,5.6,17924,16159,1765,9.8,17265,15514,1751,10.1,17276,15861,1415,8.2,17077,15829,1248,7.3,17122,15923,1199,7,16947,16035,912,5.4,17384,16641,743,4.3,17481,16817,664,3.8,17909,17367,542,3,17952,17435,517,2.9,17650,17081,569,3.2,17401,16615,786,4.5,54296,84.6
WI,Columbia,2,2,1,29829,28768,1061,3.6,30642,29316,1326,4.3,30772,29197,1575,5.1,31160,29433,1727,5.5,31422,29959,1463,4.7,31668,30261,1407,4.4,31697,30232,1465,4.6,31153,29609,1544,5,31134,29538,1596,5.1,31243,28536,2707,8.7,32089,29428,2661,8.3,31710,29271,2439,7.7,31289,29056,2233,7.1,31221,29195,2026,6.5,31157,29537,1620,5.2,31265,29930,1335,4.3,31490,30384,1106,3.5,31619,30688,931,2.9,31341,30489,852,2.7,31552,30599,953,3,31281,29438,1843,5.9,69219,107.9
WI,Crawford,7,9,0,9138,8808,330,3.6,9299,8824,475,5.1,9272,8760,512,5.5,9370,8788,582,6.2,9435,8934,501,5.3,9581,9114,467,4.9,9688,9220,468,4.8,9723,9205,518,5.3,9611,9033,578,6,9426,8458,968,10.3,8367,7506,861,10.3,8431,7672,759,9,8288,7598,690,8.3,8120,7460,660,8.1,7975,7420,555,7,7882,7432,450,5.7,7899,7523,376,4.8,7855,7531,324,4.1,7805,7517,288,3.7,7551,7239,312,4.1,7453,6908,545,7.3,51919,80.9
WI,Dane,2,2,1,265510,259409,6101,2.3,272937,265366,7571,2.8,276599,267211,9388,3.4,279835,269646,10189,3.6,283277,274216,9061,3.2,286385,277382,9003,3.1,289478,280189,9289,3.2,292864,282907,9957,3.4,296424,286154,10270,3.5,299671,281543,18128,6,293554,276445,17109,5.8,294807,279539,15268,5.2,297195,282929,14266,4.8,301102,287097,14005,4.7,305442,294301,11141,3.6,310088,300430,9658,3.1,316992,308144,8848,2.8,319483,311811,7672,2.4,318740,311552,7188,2.3,323055,315338,7717,2.4,319433,304154,15279,4.8,77828,121.3
WI,Dodge,4,3,0,47494,45999,1495,3.1,47570,45209,2361,5,46482,43913,2569,5.5,47429,44611,2818,5.9,47041,44559,2482,5.3,46713,44421,2292,4.9,47273,44952,2321,4.9,46910,44568,2342,5,47323,44901,2422,5.1,47482,42710,4772,10.1,47372,43170,4202,8.9,47513,43897,3616,7.6,47681,44325,3356,7,47360,44131,3229,6.8,47472,44958,2514,5.3,47425,45384,2041,4.3,47741,46043,1698,3.6,48256,46862,1394,2.9,47779,46519,1260,2.6,47281,45884,1397,3,47213,44729,2484,5.3,61730,96.2
WI,Door,6,6,0,16460,15817,643,3.9,17068,16268,800,4.7,17173,16287,886,5.2,16994,15738,1256,7.4,16753,15741,1012,6,16701,15776,925,5.5,16698,15812,886,5.3,17009,16104,905,5.3,17200,16262,938,5.5,17455,15842,1613,9.2,15760,14017,1743,11.1,15555,13736,1819,11.7,15735,14145,1590,10.1,15732,14191,1541,9.8,15349,14112,1237,8.1,15436,14433,1003,6.5,15457,14712,745,4.8,15519,14928,591,3.8,15356,14804,552,3.6,15262,14700,562,3.7,14905,13886,1019,6.8,64217,100.1
WI,Douglas,2,2,1,22758,21786,972,4.3,22634,21515,1119,4.9,22758,21408,1350,5.9,22908,21490,1418,6.2,22890,21566,1324,5.8,22750,21545,1205,5.3,23121,21977,1144,4.9,23173,22034,1139,4.9,23433,22189,1244,5.3,23591,21570,2021,8.6,23748,21809,1939,8.2,23563,21833,1730,7.3,23405,21825,1580,6.8,23564,22015,1549,6.6,23512,22196,1316,5.6,23293,22165,1128,4.8,23499,22295,1204,5.1,23472,22432,1040,4.4,23127,22207,920,4,22949,22008,941,4.1,22886,20786,2100,9.2,55651,86.7
WI,Dunn,6,3,0,22491,21733,758,3.4,22866,21930,936,4.1,23196,22099,1097,4.7,23982,22768,1214,5.1,23964,22867,1097,4.6,24194,23133,1061,4.4,23943,22866,1077,4.5,25963,24816,1147,4.4,25608,24460,1148,4.5,25870,23916,1954,7.6,23262,21457,1805,7.8,23323,21656,1667,7.1,23405,21890,1515,6.5,23538,22051,1487,6.3,23611,22397,1214,5.1,23715,22673,1042,4.4,24257,23290,967,4,24372,23578,794,3.3,24272,23530,742,3.1,24043,23209,834,3.5,23606,22303,1303,5.5,61506,95.8
WI,EauClaire,3,2,1,53197,51512,1685,3.2,53818,51704,2114,3.9,53876,51435,2441,4.5,54673,52084,2589,4.7,53914,51586,2328,4.3,53915,51712,2203,4.1,55636,53459,2177,3.9,57278,54918,2360,4.1,57125,54738,2387,4.2,56993,52939,4054,7.1,57161,53258,3903,6.8,57621,54016,3605,6.3,58200,54878,3322,5.7,57905,54654,3251,5.6,57929,55365,2564,4.4,58024,55864,2160,3.7,58728,56769,1959,3.3,59115,57401,1714,2.9,58828,57286,1542,2.6,58591,56839,1752,3,58299,55064,3235,5.5,64972,101.2
WI,Florence,9,8,0,2621,2514,107,4.1,2653,2530,123,4.6,2732,2561,171,6.3,2677,2504,173,6.5,2642,2475,167,6.3,2565,2390,175,6.8,2589,2420,169,6.5,2499,2353,146,5.8,2464,2317,147,6,2421,2159,262,10.8,2248,2019,229,10.2,2204,1990,214,9.7,2208,2027,181,8.2,2196,2015,181,8.2,2202,2040,162,7.4,2206,2061,145,6.6,2221,2093,128,5.8,2280,2174,106,4.6,2257,2172,85,3.8,2202,2100,102,4.6,2191,2016,175,8,58270,90.8
